playerid,PlayerName,position,Team,PA_atc,H_mean,H_p05,H_p50,H_p95,H_mean_t,H_p05_t,H_p50_t,H_p95_t,R_mean,R_p05,R_p50,R_p95,R_mean_t,R_p05_t,R_p50_t,R_p95_t,RBI_mean,RBI_p05,RBI_p50,RBI_p95,RBI_mean_t,RBI_p05_t,RBI_p50_t,RBI_p95_t,HR_mean,HR_p05,HR_p50,HR_p95,HR_mean_t,HR_p05_t,HR_p50_t,HR_p95_t,SB_mean,SB_p05,SB_p50,SB_p95,SB_mean_t,SB_p05_t,SB_p50_t,SB_p95_t,AVG_mean,AVG_p05,AVG_p50,AVG_p95,OBP_mean,OBP_p05,OBP_p50,OBP_p95,SLG_mean,SLG_p05,SLG_p50,SLG_p95
7802,Miguel Rojas,SS,LAD,175,0.236267048828246,0.1739333207219156,0.2353810697776949,0.30137929509019246,41.35433333333334,30,41,53,0.10407933255788278,0.06303894329598755,0.10301482718312922,0.1487417501590876,18.219000000000005,11,18,26,0.0908754949152495,0.05265080339189527,0.08952911382432509,0.13338484198024567,15.908833333333332,9,16,23,0.015914381692476155,0,0.016025583596653015,0.03414132547585078,2.784333333333332,0,3,6,0.018454278538875196,0,0.017126340350810943,0.04030793718309061,3.2283333333333335,0,3,7,0.2569203333618163,0.23411468805140936,0.2567257628571045,0.2807245871213178,0.30748607982464865,0.2837967289564368,0.30769399395578967,0.33163682544983525,0.3519085831100047,0.3146058542200818,0.3510348614352262,0.3935509448221174
9218,Paul Goldschmidt,1B,NYY,385,0.2293672474033392,0.18557830099314487,0.22854421584571447,0.27492730353893924,88.31633333333335,70,88,108,0.12483644046598114,0.09166933462245477,0.12386735574037236,0.16028597599471045,48.06199999999999,35,48,62,0.11916484985194438,0.08652026104427725,0.11819666976330709,0.15452056458285804,45.88033333333336,33,46,60,0.03381704961131351,0.017182980571548226,0.032899077792264475,0.053634488788287055,13.021166666666671,7,13,21,0.012163315809946083,0.00262295040201287,0.010914685690911759,0.02420851591901322,4.6831666666666685,1,4,9,0.2567009804633441,0.2351419236451122,0.25614556304629277,0.2798096335414482,0.3374944735711661,0.3132914097578033,0.33712317790907287,0.3626147286739878,0.41746276363198076,0.3743714927610969,0.4172066412581234,0.463568112966008
9241,Starling Marte,OF,NA,287,0.24217371495057297,0.19182791227446427,0.2416719162185425,0.2955107394745884,69.44533333333334,54,69,86,0.12057790609974403,0.08469169456328321,0.11931244360819727,0.15998798756351335,34.56333333333333,24,34,46,0.1027010810046994,0.06895102557164487,0.10186969055075105,0.13953495882271702,29.452666666666666,19,29,40,0.019532202174530867,0.006752922021290212,0.018369628725465978,0.0360880509201795,5.600500000000001,2,5,10,0.03277738200502082,0.014006845549115129,0.03155739049978311,0.0558011863837152,9.398000000000001,4,9,16,0.26424794021831444,0.24221659145635743,0.26408487879470444,0.2871903648790691,0.31865409857715504,0.296103319942512,0.3184222159366672,0.3426621407433875,0.37553894200391785,0.3368677729161335,0.37487741324734436,0.4174334337022261
9774,Christian Vázquez,C,NA,154,0.20015411051817036,0.14096965350818177,0.1990029597106474,0.2646005043807522,30.84716666666666,22,31,41,0.08595246010301882,0.04709247823048839,0.08435812386541443,0.12925368549177257,13.251500000000004,7,13,20,0.08692981283560577,0.047378688657224804,0.0859313031806955,0.131882882874427,13.402666666666665,7,13,20,0.015999253135645448,0,0.013451320869078107,0.03608472866135355,2.465499999999998,0,2,6,0.004139508315864494,0,0,0.013870145867375616,0.6376666666666662,0,0,2,0.21307398013300774,0.19269471363154772,0.21279972835761823,0.2341050525301971,0.2660243859098703,0.24465111982017376,0.26556335068699977,0.2876915937378751,0.3027149893048451,0.2713184227082245,0.3019852473099519,0.3364184527502341
9777,Nolan Arenado,3B,ARI,595,0.22023500363654608,0.18472155708209104,0.21961673148674776,0.25706520614990896,131.16066666666666,108,131,156,0.10357437429782543,0.07891381132969222,0.10297379690397475,0.13068766358635447,61.669,46,61,79,0.12118242291230823,0.09285800292472843,0.12085029909243089,0.15183174795293014,72.16299999999998,55,72,92,0.027538190633143746,0.01508621262908612,0.02682848306341472,0.04187588426760641,16.398666666666667,9,16,25,0.004358908361637165,0,0.0034863180320393638,0.01043773780940581,2.595333333333334,0,2,6,0.24010749738654208,0.22009717759258673,0.23984551384461378,0.26118095535975727,0.29890495560141694,0.27693551785873755,0.2985422608121466,0.3215962729657066,0.37997684868097154,0.3437710591451906,0.3790313797625136,0.42013812529982747
9847,Andrew McCutchen,OF,NA,357,0.20207689913176752,0.16046246554047996,0.2012186638262407,0.24542147632568026,72.12816666666666,56,72,88,0.11119073271704112,0.07867348035308763,0.11084872504513985,0.14560418732808814,39.6945,28,40,52,0.11093824480446668,0.0787797665909432,0.1098871382336538,0.14676093678990862,39.61016666666667,28,39,53,0.029202556768682598,0.013744105603411032,0.028347313576472,0.04781011014235415,10.422333333333334,5,10,17,0.00558354874561903,0,0.005448083455963383,0.013781005535395177,1.993333333333333,0,2,5,0.22994684226099574,0.2096423798392474,0.22936590144960506,0.2515363982391991,0.3183734433973201,0.29456319538443704,0.31791000701303174,0.3432460734346285,0.3769722110350755,0.3377299520706531,0.37572854637934305,0.419108336965249
9874,DJ LeMahieu,2B,NA,98,0.20760819318738805,0.13306447079003053,0.20484466426945858,0.2887980817755004,20.35933333333334,13,20,28,0.08959135803441323,0.041134670642073455,0.08764333199172926,0.1445528805515092,8.783166666666668,4,9,14,0.07091760744974951,0.029954848450031726,0.06951622307263669,0.11823580404414004,6.958000000000001,3,7,12,0.012491450610585585,0,0.010274590796018907,0.03275802015079969,1.2233333333333334,0,1,3,0.0018891771974733917,0,0,0.010625218065161425,0.1850000000000005,0,0,1,0.22556899225662053,0.20451844656670207,0.22517640134442327,0.24800120366668604,0.29532042925094604,0.2721923692589881,0.29512803477868593,0.3197137666578497,0.28866578589928277,0.25756980667336815,0.28750091237949843,0.323731373649623
10155,Mike Trout,OF,LAA,560,0.19855111418904048,0.16437254411281219,0.19796685682959297,0.23439955193655362,111.174,90,111,134,0.13505047917853646,0.10492779598804222,0.13412679659096807,0.1685568780590044,75.62033333333333,58,75,95,0.13208797408417353,0.10170647238731952,0.13147808568774672,0.164757665905473,73.96316666666667,56,73,93,0.05178480554267397,0.03163914458629305,0.05082984422762135,0.07570853232299704,28.99333333333333,18,28,42,0.003879602612049035,0,0.00353604825320505,0.009435745225937221,2.1735000000000007,0,2,5,0.23517953100292716,0.21451106502329165,0.23467805399600117,0.2568907425871461,0.3483485414649057,0.3245756109226606,0.3478951753834195,0.372863372135522,0.4562853372979612,0.4116033782047856,0.4552593865539445,0.5044610826707211
10231,Jose Iglesias,SS,NA,154,0.2718589662414884,0.19988032960734042,0.27017516488078913,0.34878519337484487,41.90966666666666,30,42,54,0.10489501753751868,0.06060372184621548,0.10370945391819811,0.15395686376339507,16.170333333333332,9,16,24,0.09468427654295897,0.05303649958004154,0.09358978589308073,0.14059703425983835,14.593833333333334,8,14,22,0.013067356789532473,0,0.012699718204568645,0.030969161496513024,2.0143333333333335,0,2,5,0.008643115428656107,0,0.006588227090613916,0.025295172250926912,1.3330000000000009,0,1,4,0.2918538498781303,0.2668967961831393,0.29152889614933397,0.3177634145993561,0.32558108696534127,0.3000891697246053,0.3253446810370081,0.35125875055533623,0.3668836354135779,0.32623783759783875,0.3657617545503302,0.41165993121878725
10243,Randal Grichuk,OF,NA,273,0.2332201587439728,0.1823690269724249,0.23229125530151143,0.28751366856165733,63.66400000000001,49,63,79,0.11488381272997654,0.07859055806002345,0.11400011685547884,0.15287422437543802,31.36083333333333,21,31,42,0.13344711517018,0.09432339413164115,0.13236290793509276,0.17677642348450923,36.42783333333333,26,36,49,0.038576070825070384,0.018296896122263862,0.03767749415411069,0.06288074856746112,10.530166666666663,5,10,17,0.002220348769548166,0,0,0.0077515289952634365,0.6065000000000006,0,0,2,0.2541382847375381,0.23275577331234776,0.2538029773396812,0.2767719005690253,0.3100859831880585,0.28776177844183987,0.31002619935329734,0.3328095403045798,0.43385847778176706,0.391261833582259,0.43270451306327806,0.47966281051530046
10324,Marcell Ozuna,DH/OF,PIT,525,0.22585199723436417,0.18733318715543548,0.22547049821498855,0.2653967072843409,118.5385,96,118,142,0.1188296831772954,0.08976007264340793,0.11836294502641967,0.1500982976634283,62.36883333333334,47,62,80,0.15152947685941723,0.11746399187290289,0.1509411826467285,0.18748126864620368,79.54266666666666,60,79,100,0.05162105715028581,0.03127875974415324,0.05069861003562102,0.07546254239268729,27.098666666666663,16,27,40,8.516049416904981e-4,0,0,0.0037956801794033056,0.44766666666666666,0,0,2,0.2532782991901547,0.23226799871064183,0.25277003363925343,0.27595945770637614,0.32875153776940047,0.30534592585400683,0.3284890206959925,0.35327894432938306,0.47029888008915927,0.42467127817655553,0.4693969955355851,0.5196784143811886
10472,Enrique Hernández,OF,LAD,196,0.19239485238664783,0.14048106883836875,0.19164537766810563,0.2478732447377531,37.67833333333333,27,38,49,0.10126513599874205,0.0630103062856942,0.10039713987223196,0.14324539474344566,19.83233333333333,12,20,28,0.1063854648480206,0.0664783489798751,0.10512546538775097,0.1516637378645582,20.83566666666667,13,21,30,0.02750114554509941,0.009639539538614666,0.026233148342875857,0.05046579791866492,5.384666666666668,2,5,10,0.0017796250850541108,0,0,0.0097042507038851,0.3483333333333334,0,0,2,0.21040045333626242,0.19080412341489547,0.21027926019871718,0.23059179506912286,0.2801977085950618,0.2587920901439031,0.280066714635696,0.3020265800689022,0.34870413734425626,0.3137409487499489,0.3479032235671025,0.3862711287932887
10681,Gio Urshela,3B,MIN,42,0.22001260618658516,0.10430262260194725,0.21500994005436452,0.3477380745938249,9.239166666666664,4,9,15,0.08171545811845081,0.02285995792510915,0.07405460651514045,0.161746496222471,3.429333333333332,1,3,7,0.08504790528405555,0.022923367191318496,0.07588839111242165,0.16838274291932073,3.572333333333332,1,3,7,0.012005747324151833,0,0,0.04805999117184498,0.5040000000000006,0,0,2,0.0019364701861456523,0,0,0.02333435092281529,0.0813333333333334,0,0,1,0.23456777081965094,0.21255866543567928,0.23424013112172054,0.2575084843580607,0.28244664915345624,0.26018895257154634,0.2820427457385845,0.3062754400356269,0.3000648293613307,0.2673588505749378,0.29962934525139634,0.33555159725498235
10815,Jurickson Profar,OF,ATL,644,0.2178675034455755,0.18329208549560436,0.21695692302246802,0.25485404920780735,140.21499999999997,115,140,167,0.1277261682360213,0.1002099445643768,0.12713997530836996,0.15751069214066332,82.19500000000002,63,82,102,0.11782593220998183,0.09131618605159762,0.11684285582447257,0.14762580321057228,75.821,58,75,96,0.03245041390603489,0.018398095053743516,0.03168276233965636,0.04866287127027787,20.879833333333323,12,20,31.050000000000182,0.009763910765570809,0.0030595927760955345,0.009190989316968549,0.018527698107179975,6.284666666666665,2,6,12,0.24838337771608354,0.227932624867837,0.2479704943239155,0.2702432745519266,0.333062699075561,0.31087275079153454,0.3325697895585603,0.356660956039197,0.4167882403474153,0.37708510655173166,0.4159450879944383,0.4595077824159182
