playerid,PlayerName,Team,position,PA_atc,composite_zscore,z_HR,z_R,z_RBI,z_SB,z_OBP,z_SLG
2396,Carlos Santana,ARI,1B,357,-0.33019487115573065,-0.1919509580482275,-0.23341972645635373,-0.12224986554738151,-0.5295254358959133,-0.29174108773035967,-0.6491979603984102
2967,Tommy Pham,NA,OF,266,-0.4525215417131698,-0.5273615215904435,-0.5198294563306658,-0.5458849665667229,-0.36126476770879223,-0.2017040873831143,-0.5790703463811138
4949,Giancarlo Stanton,NYY,DH/OF,413,0.37141694027448824,1.2863056835931947,-0.02337384265418463,0.7938231643025819,-0.748916204672198,-0.08273923716543141,1.0103153097019415
5235,Justin Turner,NA,3B,210,-0.5650096076673639,-0.6642932941993905,-0.7394232381462571,-0.6359523286718276,-0.7189059364726091,-0.10222417735289584,-0.6192158088646571
5361,Freddie Freeman,LAD,1B,651,1.2056285752738691,0.8873847356746254,1.478919157579317,1.3817938449116984,0.28282002898925085,1.9518432410973647,1.1469269607596495
5417,Jose Altuve,HOU,2B,623,0.8195766425582658,0.6127800184981449,1.287833469253691,0.82519493069942,0.4727642172402068,0.9657053595010252,0.6541106708548654
5517,Kyle Higashioka,TEX,C,283,-0.18624039383720264,0.1285739666247921,-0.4560338652505704,-0.0184336536836666,-0.6828260151769429,-0.6943285370309731,0.5103559405189318
5827,Wilmer Flores,NA,1B,203,-0.509442520730627,-0.508535320539569,-0.779260033235107,-0.5823553975968025,-0.7471470685161765,-0.319082783058227,-0.16281148578000643
7304,Salvador Perez,KCR,C,626,0.44292902393519307,1.3543057941667715,0.4225374467301699,1.5800268840940328,-0.7479398462606058,-0.49737142317854455,0.5557446343495234
7739,Travis d'Arnaud,LAA,C,231,-0.7090764315179664,-0.49873478421579537,-0.7770081086398759,-0.5547020802666044,-0.7483228805711349,-1.1133125659892538,-0.5849109959327543
7802,Miguel Rojas,LAD,SS,175,-0.6215172036276715,-0.8400370893804172,-0.8525998622601763,-0.8698394218803063,-0.3948260717191726,-0.13971620486815606,-0.6374442775573033
9218,Paul Goldschmidt,NYY,1B,385,0.144665681334461,-0.06151229664390648,0.06544816276023291,0.0395194837801883,-0.2500807310038535,0.7123979725854787,0.23275032714647892
9241,Starling Marte,NA,OF,287,-0.20345670054913972,-0.5967832571062541,-0.3255202862397074,-0.4589574123039182,0.27183294507551437,0.18186092478294136,-0.2803811495777816
9774,Christian Vázquez,NA,C,154,-1.0138062903505944,-0.867796366176906,-0.9954652255888904,-0.9338636437336412,-0.7238231451960577,-1.373582643541727,-1.2533702006460152
9777,Nolan Arenado,ARI,3B,595,0.0846828740280513,0.22250502677828193,0.5102619247337836,0.8252244134837013,-0.48884146137780926,-0.4307093671410656,-0.2678969679181613
9847,Andrew McCutchen,NA,OF,357,-0.20111739501376152,-0.24266229431951203,-0.19065874678870193,-0.1776463288907897,-0.5484448346903404,0.12016204751916632,-0.27259805879797355
9874,DJ LeMahieu,NA,2B,98,-0.9864232776512196,-0.94891103680803,-1.1386490079116414,-1.1367868431336765,-0.7466858879736973,-0.5341130383646876,-1.4442010252020725
10155,Mike Trout,LAA,OF,560,0.7133418540520446,1.243261890384025,0.8281665547336479,0.8225606098193037,-0.5235490495146913,1.0169746543697733,0.755429710865576
10231,Jose Iglesias,NA,SS,154,-0.5609975528754736,-0.904032691466674,-0.9218091631025144,-0.908747867359789,-0.6198934383876151,0.34044270283146105,-0.44300469102074974
10243,Randal Grichuk,NA,OF,273,-0.1998444821468701,-0.19381569187536565,-0.4454479663130354,-0.26290066804283696,-0.7307028494918497,-0.04569143684992989,0.45681918941743904
10324,Marcell Ozuna,PIT,DH/OF,525,0.5409613825323808,1.078202444041168,0.4891664694691269,1.0312223212005491,-0.7381466425924844,0.4457717789021408,0.885327250158447
10472,Enrique Hernández,LAD,OF,196,-0.7458899245952924,-0.6283690972180149,-0.8036691133696207,-0.7215504877700702,-0.7449594900067931,-0.9556611030505312,-0.6452947875023973
