playerid,PlayerName,role,ERA,K9,WHIP,Ks,IP_atc,z_ERA,z_K9,z_WHIP,z_IP,composite
3137,Max Scherzer,SP,4.302233329557933,8.681494919995652,1.2263421605646787,89.3726140644419,92.6515,-0.04153139730436686,0.286936029587474,0.4066427312612448,-0.16110088643939038,0.12273661927624038
4676,Charlie Morton,SP,5.341963127583683,8.679955212765652,1.5233933206630075,73.24937048895487,75.9502,-1.3234900716823614,0.2857365613588793,-1.6167477283543563,-0.4886599932257094,-0.7857903079758869
6175,Albert Suárez,SP,4.115718248258164,7.217530674713628,1.2807956492772852,18.438304835549808,22.9919,0.18843664518953004,-0.8535266283779,0.03572793827608305,-1.5273200642933455,-0.5391705273014081
6902,Martín Pérez,SP,3.8419497066760657,6.989602583851846,1.2775480401080648,82.08899923479335,105.7,0.5259858404894913,-1.0310879842422471,0.05784931766199603,0.09481661728195369,-0.08810905220220154
8700,Justin Verlander,SP,4.3294780305491605,7.167304727282365,1.2746389929266175,94.07565274873255,118.131,-0.075123375559542,-0.8926538254326704,0.07766455188482688,0.33862322254386323,-0.13787235664088054
9132,Nathan Eovaldi,SP,3.0242499759982495,8.804068208183994,1.035860025183548,156.37101190515773,159.851,1.5341874566876792,0.38242351057844737,1.7041287782095453,1.1568688642079987,1.1944021524209176
9323,Patrick Corbin,SP,6.7548981468238685,5.94864168597481,1.6623170388419757,82.13818343975284,124.271,-3.065600673577928,-1.8420210628722953,-2.5630390200113324,0.4590457594522475,-1.752903749252327
9803,Miles Mikolas,SP,5.177304437668795,5.55971030982518,1.3905936591128483,79.8046995328206,129.187,-1.1204703676699164,-2.145007773401068,-0.7121709943943644,0.5554622401430649,-0.855546723830571
10310,Zack Wheeler,SP,2.6529020336061535,10.720176530196984,0.9609342907812592,143.0047726513766,120.058,1.9920494097315387,1.8751170629756455,2.214492097844789,0.37641707085370973,1.6145189103514206
10603,Chris Sale,SP,3.2813200955267474,10.905536046537144,1.0692376567801434,192.18341484321454,158.603,1.2172269634146144,2.0195164957935905,1.4767740649178687,1.1323921010057736,1.4614774062829619
10954,Jacob deGrom,SP,2.4909882098852245,10.654666514118375,0.9064800199797025,183.95163351441883,155.384,2.1916847680860694,1.8240832161442488,2.58541221809856,1.0692585266884949,1.9176096822543434
