playerid,PlayerName,position,H_mean,H_p10,H_p50,H_p90,R_mean,R_p10,R_p50,R_p90,RBI_mean,RBI_p10,RBI_p50,RBI_p90,HR_mean,HR_p10,HR_p50,HR_p90,SB_mean,SB_p10,SB_p50,SB_p90,AVG_mean,AVG_p10,AVG_p50,AVG_p90,OBP_mean,OBP_p10,OBP_p50,OBP_p90,SLG_mean,SLG_p10,SLG_p50,SLG_p90
2136,David Peralta,OF,0.23241776522109583,0.21627885453091336,0.23203834520224376,0.2492838592271417,0.10349210098481498,0.09053173292455684,0.10305283363108052,0.11673643213154121,0.11501856992393504,0.10042107242533559,0.11436996515706371,0.1304066481775692,0.022754660630943054,0.01676706629485488,0.022206216580993084,0.029255522563946527,0.003775879723163241,0.0016376995823160257,0.0032579923199562554,0.006192468922952047,0.25650148497801156,0.23748747220579766,0.2563424704903157,0.2751761304399912,0.3154561960578367,0.2916120889326726,0.31499173396562374,0.3397933010404014,0.3870672983984504,0.3464218221220509,0.3852044922228962,0.4276520780150802
2396,Carlos Santana,1B,0.19554981073642255,0.18156654295187896,0.19516422951162793,0.20985030958928194,0.10676784118214719,0.09371693317435047,0.10625313710101338,0.11989079661001362,0.11632818251959615,0.10246665236947679,0.11587637713493242,0.13073764582246195,0.03225256970760538,0.024815645178143837,0.031560656051624364,0.04040093116214938,0.006555079896005355,0.003302892928339714,0.005836853901989663,0.009985670155831204,0.21984680405994053,0.203045024620714,0.21939746136618898,0.23677560733425226,0.30745201783396103,0.2842573425324011,0.30688042152563366,0.33170325688409086,0.36499176134432465,0.3266546471142451,0.3638845171639355,0.40474208461524813
2967,Tommy Pham,OF,0.21129806556197273,0.19736271203033784,0.21080703510509902,0.22566214641494248,0.1130776141128789,0.09938581345814304,0.11265647121908118,0.12654052004318903,0.1028326762559926,0.09038833040601063,0.10204310935803285,0.11657627997945594,0.02300966051479333,0.017373196793834478,0.02257575965008721,0.02895057793394214,0.013614249263201891,0.007928981241615403,0.01237523390675868,0.01971312185949927,0.23873709507050436,0.2217471254452985,0.2382978862466722,0.2561091527783888,0.3163979089994486,0.2932726738953838,0.31595194690128703,0.3405778204060097,0.369657225851734,0.33251806014488167,0.3677394563485247,0.4074053733024975
3473,Anthony Rizzo,1B,0.19199318681178665,0.17883753793135515,0.19165392896183614,0.20588135306139088,0.10467793283434029,0.09199823773428778,0.10429279979600828,0.1175950503242921,0.10090554626531135,0.08812033933991707,0.10041343527135116,0.11438068054577964,0.02660686618440616,0.019933173553468773,0.025939205345515463,0.033895289646884486,0.0037806767896833844,0.0016217297740596564,0.003235170620483472,0.0062791090681006845,0.21463328319527036,0.19798861179275357,0.21397388163239794,0.23140200548494644,0.30339182633602885,0.2797603998782894,0.3028111293636705,0.32779346040821766,0.3476760166712285,0.31107106135970564,0.346077235035195,0.3836386280140738
4940,Jason Heyward,OF,0.20944652399466074,0.1942645270124982,0.2090543075656461,0.22487055233503905,0.1242772449394386,0.10881124934582351,0.12366223063256468,0.1399528496808352,0.12298656996697016,0.10621907735000889,0.1224464565809005,0.13992878159187774,0.03751212884623681,0.0277783694166589,0.03650704255144749,0.048239230728919884,0.009684201287906171,0.004664859682711574,0.008528314420446463,0.01520964571727266,0.23490576712072306,0.21687168605739293,0.23452117420355517,0.25341536374251844,0.30954716510087493,0.2856001489645794,0.3090159759729868,0.33385989805132893,0.4127354157823695,0.36918494525616175,0.4115890877811581,0.45636173838266136
4949,Giancarlo Stanton,DH/OF,0.2099742653781629,0.1951771207788302,0.20962498547478023,0.22524000706556746,0.11062715520734351,0.09631421085044611,0.11016214173201795,0.12512382402584415,0.18971298117109728,0.16706901440460842,0.18892124585719902,0.2129334462063524,0.08226513375062752,0.06427484900436996,0.08076191607590835,0.10132191837341901,3.158595271669212e-4,6.0743182914052995e-5,2.1973979476105367e-4,6.512066472258609e-4,0.23629484324645014,0.21846062524912907,0.23601466832135867,0.2540927525562421,0.3130977478173332,0.28851307397227255,0.31283910829699196,0.33805424869562084,0.505078017096694,0.45447314752906837,0.5030111904670397,0.5558937449817323
5235,Justin Turner,3B,0.21046556282999992,0.19500436318280628,0.21025698419204275,0.22617549369839507,0.09682805168656869,0.08420828763828561,0.09631984366918613,0.10985124312295017,0.10840647428287288,0.09428039635752382,0.10782803042567277,0.12275984174689886,0.01999790354023162,0.014787331236378678,0.019543838424409946,0.02562847909304786,0.003000342521566165,0.0013120913444917225,0.00260288528566781,0.004923117118806392,0.2316935800178057,0.21403724655745443,0.23124403789949888,0.24965190994307707,0.30689428673725655,0.28329665553512157,0.30623032060635613,0.33066856022097924,0.34221765349302946,0.30554430786754005,0.34058478937138714,0.37927528916699105
5254,Robbie Grossman,OF,0.18249776697891282,0.16963503673397062,0.18224857847605175,0.19578126675138302,0.09865820283039001,0.08640838198258169,0.09816843947500745,0.11111175028114705,0.08204587579029039,0.07074053033008734,0.08162688615664117,0.09389775650694052,0.01648914654210678,0.011910171443512104,0.016098497828964605,0.02137802267395946,0.007621920144039194,0.0038259785163804894,0.006849705308477552,0.011898777860948687,0.2065553225398309,0.1897962628031493,0.20622370005135032,0.22375452218857572,0.3008741808661163,0.27679582244893597,0.3002142257307148,0.32603093590727317,0.3056693129551992,0.27255935159443034,0.3046369194091674,0.3394599581928619
5361,Freddie Freeman,1B,0.2620117609053386,0.2458395963764233,0.2616736935608973,0.27846107801222886,0.14655736856276697,0.13053166696072738,0.14592981643256406,0.16304811349518436,0.1367242304472758,0.12242450507974166,0.13610667152387726,0.15159513179015513,0.03634484951424424,0.02860125416335793,0.03576926440402615,0.04449540989551137,0.013891293787233068,0.007936817637717627,0.012683375740149012,0.020153411911667266,0.300507541497158,0.2813935141349054,0.2999700807493104,0.3203250536185072,0.3819016840380705,0.35556742276187697,0.3816090143244073,0.4079868056428292,0.49405495599596627,0.4466946433906207,0.4921237713561857,0.5420646288788561
5417,Jose Altuve,2B,0.24676363133341236,0.23103733115983566,0.24662173167485846,0.26250086828109104,0.14182078924191394,0.1258457840559806,0.14118454711751707,0.15825886050343757,0.10794831192486172,0.0952569545998899,0.10748060787245937,0.12072378324590716,0.03242539252826086,0.02503254321327305,0.03186981078676014,0.03998643937309192,0.021844422242338835,0.013076766204408606,0.02001572939280119,0.030727794362366383,0.2793581386920141,0.26072728708321735,0.2788058477325382,0.2986741330598206,0.3548275329670811,0.32961055042182924,0.3546350407667701,0.3797802914421922,0.44946447011680024,0.40522932200421047,0.44770161365724176,0.4939271578376183
