playerid,PlayerName,position,PA_atc,composite_zscore,z_HR,z_R,z_RBI,z_SB,z_OBP,z_SLG
2396,Carlos Santana,1B,283.232,-0.5424659785114867,-0.4076003935371019,-0.5810445909036214,-0.44537309825188187,-0.64778233685932,-0.3269692085730573,-0.8460262429439381
2967,Tommy Pham,OF,332.152,-0.4167713688694859,-0.5145116733882084,-0.3362965952156182,-0.3789369216711814,-0.29828357650455106,-0.23583528563938327,-0.7367641607979732
4949,Giancarlo Stanton,DH/OF,434.832,0.5734147038760984,2.0428611971182407,0.06381683324164511,1.250110362550986,-0.8554800597369027,-0.4131796908128094,1.3523595808954305
5235,Justin Turner,3B,197.76,-0.6530456528176328,-0.7909626106293275,-0.9438223025000791,-0.7676398895303105,-0.7628209553430163,0.04437853596556944,-0.6974066948686326
5361,Freddie Freeman,1B,621.944,1.501512274569331,0.973636195109098,1.7009467182175373,1.5267365093209775,0.3848692397666506,2.8195358586508674,1.6033491263508561
5417,Jose Altuve,2B,598.91,1.1373746964370406,1.0167876979649149,1.5676932537782033,0.9308345574163809,0.585828109329708,1.5461732250448283,1.1769313350882082
5517,Kyle Higashioka,C,271.751,-0.3871824814978299,0.14648367009948532,-0.628652071855755,-0.14709166504075197,-0.7598932544129999,-1.3686660078694075,0.43472444009244954
5827,Wilmer Flores,1B,249.481,-0.5350384409811336,-0.36917794599254605,-0.7621509192565673,-0.42480905066930835,-0.84013165504846,-0.6240531818849728,-0.18990789303494762
7304,Salvador Perez,C,591.35,0.45306017914191266,1.5013498800710445,0.34757493918061133,1.6990429171718668,-0.8442419230596038,-0.6747406162778035,0.6893758777653598
7739,Travis d'Arnaud,C,231.18,-0.8165030318449028,-0.4638731917922551,-0.9122402477621288,-0.5705719559257937,-0.8517732547324064,-1.5548797789185633,-0.5456797619382696
7802,Miguel Rojas,SS,178.689,-0.7131523089617143,-0.9874547293227911,-1.0013814424260565,-1.0440878539912564,-0.418151147066649,-0.07500530782375242,-0.7528333731397809
9218,Paul Goldschmidt,1B,437.633,0.29832620839461593,0.01730886046335276,0.35246994942174875,0.18322384460802751,-0.13526568182515822,1.1523171800838887,0.21990309761583623
9241,Starling Marte,OF,255.717,-0.2915249120540047,-0.7608724064532469,-0.5409788682679336,-0.6604422550980577,0.2624750716910774,0.3024574342841356,-0.35178844848000285
9774,Christian Vázquez,C,185.323,-1.2279175058368794,-0.9706461885319847,-1.1091806094558165,-1.0210664615634077,-0.7716542584049864,-1.8416840036324686,-1.653273513432613
9777,Nolan Arenado,3B,552.159,0.043379930638463966,0.29087372007882667,0.42530730795619026,0.8686702899520922,-0.5301065632722914,-0.517237844982546,-0.27722732590148785
9847,Andrew McCutchen,OF,317.312,-0.3234028759573218,-0.36817466374407415,-0.3970310407009954,-0.3571819176126881,-0.6366047173621411,0.23855002696284097,-0.41997494328687346
9874,DJ LeMahieu,2B,126.585,-1.1324137437628554,-1.0900326573833363,-1.2643671737024154,-1.2650365015303893,-0.8393977948178283,-0.6221348815921819,-1.713513453550981
10155,Mike Trout,OF,518.082,0.7179057488679034,1.3542898599517315,0.8371664701761568,0.931728873050744,-0.6129953583844833,0.9873429346412701,0.8099017137720006
10231,Jose Iglesias,SS,180.857,-0.6441751425546447,-1.012836283096148,-1.0046245944934586,-1.005361012330402,-0.6335874572583868,0.3931303459054899,-0.6017718540549628
10243,Randal Grichuk,OF,226.68,-0.34286719272331195,-0.47817455847134277,-0.7264142794230953,-0.5668530070579076,-0.7898210114757512,0.046490940400397085,0.4575687596878283
10324,Marcell Ozuna,DH/OF,466.713,0.5663238534197811,1.1190595641691763,0.3531108106016435,0.9084791555954744,-0.8154510561966927,0.6583228216074493,1.1744218247416351
10472,Enrique Hernández,OF,250.041,-0.8506977987046479,-0.569348156118549,-0.7666893897962752,-0.6223192749022266,-0.8071058241640359,-1.4543125564244646,-0.8844115908223356
10681,Gio Urshela,3B,167.139,-1.1344943551933657,-1.0366199873138044,-1.1833509947978516,-1.0511690400101508,-0.8260948637866121,-1.1789376668370575,-1.5307935784147184
10815,Jurickson Profar,OF,598.934,0.6026382399425511,0.41607978362538917,1.1330153163454098,0.7787256056516068,-0.035526586767836064,1.1095836556168486,0.21395166518388808
11442,Gary Sánchez,C,222.738,-0.39707394433592547,-0.10080916485815088,-0.8009688832467329,-0.4679448610831923,-0.8300125502630544,-0.501785966840479,0.3190777602760567
11445,Mark Canha,OF,152.031,-0.9118880998259632,-1.0450627475674978,-1.116114272086095,-1.145511320935416,-0.6496842813916422,-0.010979766609256094,-1.5039762103658723
11477,Christian Yelich,OF,585.32,0.9042816144670455,0.43003891535079536,1.2558295592257245,0.854090069034897,1.2289498020266574,1.314309869981049,0.34247147118315013
11493,Manny Machado,3B,629.777,1.2195260991111665,1.5799486080772305,1.386647023009031,1.8828585162602174,0.3157583647810413,0.797683335453949,1.3542607470855297
11579,Bryce Harper,OF,611.718,1.4737159647500204,1.414613834559777,1.6120692638555818,1.4852095237318426,0.2443887354547872,2.405701238237262,1.6803131926608719
11609,Willson Contreras,C,550.442,0.9301528654837222,1.1218629617988076,1.0026612412534217,1.0986934477901518,-0.26598048148040737,1.480103158679785,1.143576864860575
11680,Elias Díaz,C,146.577,-0.9049606073218942,-0.8476551028328798,-1.2023905779432016,-0.9827303030465125,-0.8600736217294942,-1.0058986961816445,-0.5310153421976328
11737,Nick Castellanos,3B/OF,290.523,-0.23294461942780353,-0.24251595356600772,-0.4160997724553682,-0.2188940567038336,-0.5182197763486776,-0.3599402318881659,0.358002074395232
