playerid,PlayerName,role,SO_mean,SO_p10,SO_p50,SO_p90,BB_mean,BB_p10,BB_p50,BB_p90,H_mean,H_p10,H_p50,H_p90,ER_mean,ER_p10,ER_p50,ER_p90
1890,Matt Moore,SP,0.7708558953292538,0.6596366632423376,0.7676504832022746,0.8860563340216704,0.5054348120227259,0.4045849155383311,0.500466446324892,0.6129632512937244,1.1702392024960353,1.059564886727021,1.1675458069552405,1.2865422470151355,0.7077567723047303,0.5890126655555786,0.7020935975638825,0.8356800516325826
2036,Clayton Kershaw,SP,0.8648672508787953,0.775944511093227,0.8614867718406565,0.9556655250871341,0.27120872362126236,0.22628462165542618,0.2694251863991533,0.3182596534567432,0.8754343290891735,0.8091938153879077,0.8740618030358316,0.941993833750807,0.3774285532902215,0.3260613631661603,0.375198337210634,0.4323782182294484
2520,Lance Lynn,SP,0.9488162594552788,0.8623436533492275,0.9453973338817865,1.0381486895821388,0.3357834148897733,0.2896937243962546,0.3337036410081211,0.38369737745689836,0.9875806215343689,0.9236261725912573,0.9863800801165223,1.0546802678351686,0.5113741102737919,0.4512188133079477,0.5081709427917679,0.5742864530556413
3137,Max Scherzer,SP,0.9646105466661836,0.8753174775786982,0.9620014183586594,1.0562848323020304,0.2801642056079128,0.2377070828215082,0.27875073824545177,0.32362725607630305,0.946177954956766,0.8774109764695224,0.9446121669369827,1.0180462490236006,0.478025925506437,0.41798716095778143,0.47495515959464074,0.5424762863125115
4676,Charlie Morton,SP,0.9644394680850724,0.884070165491158,0.9621744659058031,1.0466736610348146,0.5166787756867124,0.45672739017350195,0.5148345998220439,0.5789420641948304,1.0067145449762953,0.9378597904472142,1.0063804641821272,1.0754588128894567,0.5935514586204093,0.5247902223856792,0.5912246836457391,0.6647143850500934
6175,Albert Suárez,SP,0.8019478527459587,0.6992806910715409,0.8005612043250314,0.9048057256508915,0.31558818763931973,0.25398834904884304,0.31217570045858234,0.37907111672638705,0.9652074616379656,0.8826409157453252,0.9640135048296126,1.048332028795623,0.4573020275842404,0.3862672128764842,0.4540155923415928,0.5311774082740545
6632,Carlos Carrasco,SP,0.7350434943925359,0.6567487368169587,0.7326253976114989,0.8179808061012275,0.40836682255588536,0.34532280177259705,0.40532880921214076,0.47542471974527983,1.3377991716098203,1.2432436892874998,1.3340000082147399,1.4387189575826929,0.8468646686995485,0.7436928799636703,0.8423748960675559,0.9550299361503765
6895,Chase Anderson,SP,0.7086384418480705,0.6216239771496824,0.7035967991679584,0.8012750383665938,0.45126078644306916,0.37796784970260194,0.44886828573582765,0.5300546325919214,1.1414903743612999,1.0458223955551165,1.1397266259889351,1.2367460356842934,0.6689188273579509,0.5739564266286672,0.6619627025679484,0.7711745697885455
6902,Martín Pérez,SP,0.7766225093168717,0.6949122826659176,0.7737262891283623,0.8609761400595305,0.3397695111001275,0.2912052414016502,0.3379591294427098,0.3904303309680641,0.9377785290079373,0.8724229876302247,0.9367869061501968,1.0031822385544125,0.4268833007417851,0.3735767553206525,0.4244541148747335,0.48260720679671565
8700,Justin Verlander,SP,0.7963671919202627,0.7244987411235664,0.794169764601383,0.8700753175883813,0.30917708110495556,0.2655435108228412,0.3077189905397951,0.3534729647221332,0.9654619118216619,0.8961125092004607,0.9639927580936359,1.034688474337168,0.4810531145054623,0.4221808226232864,0.4788597896586607,0.542579940411332
9132,Nathan Eovaldi,SP,0.9782298009093326,0.8880343593770853,0.9737203713468845,1.0710676860862862,0.21309667285307382,0.18140886119884356,0.21187274494636008,0.24613149248898744,0.8227633523304742,0.7678983310077051,0.8225118237592488,0.8790462347661417,0.33602777511091664,0.29377508046143896,0.334524988651449,0.3792066876494594
9323,Patrick Corbin,SP,0.6609601873305344,0.6003430653462518,0.6595204700554969,0.7241246621236986,0.3579445212992506,0.3127268945909439,0.3562660082710154,0.405237236340864,1.304372517542725,1.226858163149125,1.304961835958781,1.381522547701625,0.7505442385359854,0.6697505911563684,0.7472897760004459,0.8332348618704636
9803,Miles Mikolas,SP,0.6177455899805755,0.559485692584457,0.6160882135244039,0.6777715905910279,0.21523510442403945,0.18357592925275906,0.21397526960983246,0.2488340699519287,1.1753585546888088,1.103055472419455,1.1754906862452732,1.2473068724988416,0.5752560486298661,0.5116131640414507,0.5725210206637315,0.6405448267241106
10123,Kyle Gibson,SP,0.7882328721907581,0.7186327212491412,0.7843791353275268,0.863571371435701,0.35963806869033,0.3142215280946316,0.35801475086347956,0.40630210373924985,1.032376636165038,0.968616600263345,1.0328170476104395,1.0955804031788952,0.5354046634194323,0.4760109833390048,0.5330910225525206,0.5953484748729294
10310,Zack Wheeler,SP,1.1911307255774426,1.090700661824774,1.1879331508637976,1.2925624583237296,0.21832592636417433,0.18772172795132866,0.21740402829190836,0.2508044266090571,0.7426083644170849,0.6937331415110117,0.7418651306016347,0.7914881755610741,0.29476689262290595,0.2603749742867588,0.29354715312493573,0.33034592595716245
10314,Erasmo Ramírez,SP,0.7465167398121043,0.638352556638621,0.7427659545259633,0.859275588731183,0.3229278968484871,0.2508925478262949,0.3170710320410992,0.4032360774110741,1.1415590058210865,1.0246293511812155,1.1399947053653356,1.2593981556427007,0.6014877683891827,0.49897292356042505,0.5958535262178409,0.711697465279887
10603,Chris Sale,SP,1.211726227393016,1.1059860669348258,1.2084861979528874,1.31960855209454,0.2505607985096601,0.21178141933837394,0.2493072099680137,0.2915428482845534,0.8186768582704833,0.7598474172377292,0.8172731826959807,0.8800501131584644,0.36459112172519414,0.3174007200189973,0.36308123391012814,0.4150720732431237
10954,Jacob deGrom,SP,1.1838518349020415,1.0716598945456979,1.1806271481420987,1.3008354801401991,0.20145722598718616,0.1655983174459723,0.19983866648550602,0.23946718215717328,0.7050227939925163,0.6474411050615719,0.7036032509100527,0.7632174591510532,0.27677646776502496,0.23573513974116195,0.2742605035617297,0.31951272633501054
11156,Merrill Kelly,SP,0.9091150810015493,0.8247048926487878,0.90622198954959865,0.9948538136571003,0.29675419892286614,0.2567257294457815,0.2948187221340446,0.33951406947645224,0.8563750806538932,0.7979335206027679,0.8557951180427041,0.9161946915263249,0.38346495065611513,0.33721394293440266,0.3815133904183575,0.43221650019013397
11423,Jose Quintana,SP,0.7221914578700854,0.649085011695062,0.7207087149406266,0.7963989806309474,0.35004805678766165,0.30221103691075274,0.3477292291795866,0.4002054290300041,0.9390378576161217,0.8748632098425186,0.9383940513482977,1.0041605488619805,0.43235479707661434,0.37782450395173,0.43069684401130254,0.4872705018702119
