playerid,PlayerName,Season,metric,observed,fitted_mean,fitted_p05,fitted_p95,type
18655,A.J. Minter,2018,K9,10.125,10.486165614942504,9.448506575094587,11.586082894125154,fit
18655,A.J. Minter,2019,K9,10.738636363636363,10.917699978530665,9.972121408044458,11.91167731946946,fit
18655,A.J. Minter,2020,K9,9.969230769230768,10.952727697310447,10.053476693896876,11.892990199742796,fit
18655,A.J. Minter,2021,K9,9.802547770700636,10.900398437488132,10.083918127372142,11.741445184278822,fit
18655,A.J. Minter,2022,K9,12.085714285714285,10.6057292780485,9.79699699763159,11.426040820665337,fit
18655,A.J. Minter,2023,K9,11.412371134020617,10.461143929626076,9.58139566861827,11.368287415301987,fit
18655,A.J. Minter,2024,K9,9.174757281553397,9.939955974188598,8.996697004591775,10.939911300544626,fit
19343,A.J. Puk,2022,K9,10.311557788944725,10.996422685174561,9.970203847435103,12.065395363533447,fit
19343,A.J. Puk,2023,K9,12.388235294117647,10.839048678405852,9.898004277586201,11.830470949412563,fit
19343,A.J. Puk,2024,K9,11.102803738317759,10.293840046136527,9.339152978053407,11.32068954083005,fit
23550,Aaron Ashby,2021,K9,11.08421052631579,10.209923687589331,8.771751856200204,11.739349921433762,fit
23550,Aaron Ashby,2024,K9,10.48235294117647,10.092363077432502,9.022559258044577,11.262852020529774,fit
23550,Aaron Ashby,2025,K9,10.26,9.8942168168728,8.824910738526683,11.065568810840942,fit
25327,Abner Uribe,2023,K9,11.445652173913043,11.558635508789964,10.135287945714092,13.148537197757793,fit
25327,Abner Uribe,2025,K9,10.752212389380531,10.937177249814681,9.71570683505379,12.2503550331412,fit
25007,Alex Vesia,2021,K9,12.15,12.39976110749326,11.266410730229794,13.590473202283178,fit
25007,Alex Vesia,2022,K9,13.085889570552148,12.238020517401516,11.269256545031432,13.237749463295383,fit
25007,Alex Vesia,2023,K9,11.597315436241612,12.245982594522397,11.3088377842051,13.19762263271294,fit
25007,Alex Vesia,2024,K9,11.804020100502512,11.804925857204193,10.874434913672301,12.772808191365828,fit
25007,Alex Vesia,2025,K9,12.067039106145252,11.426866778374361,10.402163327849614,12.483580385013735,fit
21132,Alexis Díaz,2022,K9,11.732984293193716,11.520343888103051,10.428365904257442,12.699163802079514,fit
21132,Alexis Díaz,2023,K9,11.495049504950495,11.308656821003513,10.298690283211757,12.397342791036051,fit
21132,Alexis Díaz,2024,K9,8.78698224852071,10.695357937821125,9.686738299405214,11.774823735048482,fit
25942,Andrew Nardi,2023,K9,11.459302325581396,11.500033580060174,10.208517172611636,12.879279622155472,fit
25942,Andrew Nardi,2024,K9,12.684563758389261,10.955026234375902,9.739279331737503,12.244018727427594,fit
20373,Andrés Muñoz,2019,K9,11.73913043478261,12.433374220180722,10.927582446858459,14.040869107367476,fit
20373,Andrés Muñoz,2022,K9,13.292307692307693,12.514400683823947,11.480702808529628,13.603346423532797,fit
20373,Andrés Muñoz,2023,K9,12.306122448979592,12.49131767282883,11.5354856460933,13.51235052870225,fit
20373,Andrés Muñoz,2024,K9,11.679775280898877,12.010142053067685,11.069708256501274,12.980607680085402,fit
20373,Andrés Muñoz,2025,K9,11.983957219251337,11.594986675026819,10.624037547652618,12.619178251427744,fit
10233,Aroldis Chapman,2018,K9,16.305194805194805,14.247050173628232,13.072687056710123,15.444808150587761,fit
10233,Aroldis Chapman,2019,K9,13.421052631578947,14.822392341345351,13.755719092571216,15.905076645284224,fit
10233,Aroldis Chapman,2021,K9,15.497041420118343,14.774860967489719,13.831205916133218,15.763858783946944,fit
10233,Aroldis Chapman,2022,K9,10.65137614678899,14.36222414312424,13.418039572929224,15.331136546121625,fit
10233,Aroldis Chapman,2023,K9,15.89142857142857,14.152512331157677,13.117013941443476,15.198348024530127,fit
10233,Aroldis Chapman,2024,K9,14.302702702702703,13.433177700287319,12.359842043261231,14.549749334874736,fit
10233,Aroldis Chapman,2025,K9,12.472826086956522,12.801699417532415,11.622338635362526,14.019996748249492,fit
24609,Braydon Fisher,2025,K9,11.16,10.24960387739001,8.720554452324768,11.898243614746848,fit
21574,Brendon Little,2024,K9,7.094890510948906,10.32193450180081,9.177811669154407,11.536648819558325,fit
21574,Brendon Little,2025,K9,11.985365853658537,10.385303681128667,9.217390409462126,11.618896669482131,fit
16727,Brock Stewart,2019,K9,6.662337662337661,8.42009482029874,7.179587196147601,9.756022512771821,fit
16727,Brock Stewart,2023,K9,12.686746987951807,10.01544764402252,8.771601693153503,11.330204207517172,fit
16727,Brock Stewart,2025,K9,10.513274336283185,10.122313171030584,8.673026907474547,11.700374461139711,fit
16609,Bryan Abreu,2021,K9,9,11.900890133665271,10.816054787456098,13.070203538084417,fit
16609,Bryan Abreu,2022,K9,13.127071823204421,11.992921734918149,11.065383796704953,12.97384907676692,fit
16609,Bryan Abreu,2023,K9,12.5,12.25303995717995,11.369889242518333,13.169874716824763,fit
16609,Bryan Abreu,2024,K9,11.83404255319149,12.05979242874568,11.169682530199866,12.999704286061398,fit
16609,Bryan Abreu,2025,K9,13.309859154929578,11.918952718678899,10.951193611581704,12.943714604476659,fit
19804,Bryan Baker,2022,K9,9.818181818181817,10.021586719648315,9.06980818454213,11.02362565345014,fit
19804,Bryan Baker,2023,K9,10.2,10.154021513954048,9.268889802060048,11.105527274614667,fit
19804,Bryan Baker,2024,K9,8.871428571428572,9.911893201535133,9.014075791026881,10.86097494623612,fit
19804,Bryan Baker,2025,K9,10.878640776699028,9.716310636451547,8.735024880934004,10.74013356242667,fit
25890,Bryan King,2024,K9,10.936708860759493,9.396919476663731,8.25892317259769,10.596642892750623,fit
25890,Bryan King,2025,K9,9.132352941176471,9.332967173443103,8.230615632063552,10.519656484524036,fit
27867,Cade Smith,2024,K9,12.305309734513274,11.845704728635662,10.65254035082573,13.064101876447598,fit
27867,Cade Smith,2025,K9,12.705882352941176,11.425388447360803,10.288575926700851,12.613170223747973,fit
10078,Caleb Thielbar,2020,K9,9.9,10.455042171178134,9.496345228334551,11.49016596955418,fit
10078,Caleb Thielbar,2021,K9,10.828125,10.535805544917817,9.6671163861778,11.44711807372015,fit
10078,Caleb Thielbar,2022,K9,12.134831460674157,10.379930107993054,9.508971463546569,11.272288651754312,fit
10078,Caleb Thielbar,2023,K9,10.565217391304348,10.367082251031423,9.457996246675044,11.331238149397796,fit
10078,Caleb Thielbar,2024,K9,10.077464788732392,9.973851098871398,9.024367368316117,10.998063193552294,fit
10078,Caleb Thielbar,2025,K9,8.689655172413794,9.634923507140417,8.59777297511308,10.749637985878318,fit
20116,Calvin Faucher,2022,K9,8.859375,8.957918113871605,7.890230079461846,10.040814667248371,fit
20116,Calvin Faucher,2023,K9,8.766233766233766,9.354536834805769,8.373143133257095,10.369237839459032,fit
20116,Calvin Faucher,2024,K9,10.56521739130435,9.412194609438197,8.477426434142025,10.414138312514645,fit
20116,Calvin Faucher,2025,K9,8.80110497237569,9.511320209175409,8.521409863426651,10.592674426546987,fit
21992,Camilo Doval,2021,K9,12.333333333333334,11.759457452503495,10.60794131091983,12.933440565030613,fit
21992,Camilo Doval,2022,K9,10.64039408866995,11.450839645995181,10.479707906515456,12.435350770574129,fit
21992,Camilo Doval,2023,K9,11.57142857142857,11.3052086494512,10.426143667520266,12.211080517508773,fit
21992,Camilo Doval,2024,K9,11.898305084745763,10.751988856962038,9.899693562931574,11.649125106725863,fit
21992,Camilo Doval,2025,K9,9.918367346938776,10.268011647506606,9.37140874728188,11.214405603763604,fit
27494,Clayton Beeter,2025,K9,11.723684210526317,11.138553911156876,9.297454349898771,13.15534375608049,fit
27570,Cole Henry,2025,K9,8.88607594936709,9.3615171960121,8.015378170291891,10.84210605224264,fit
27649,Connor Phillips,2025,K9,11.52,10.231622008888085,8.374402628921708,12.316366799331064,fit
27914,Daniel Palencia,2023,K9,10.48235294117647,10.509454684579334,9.09759878198124,12.019666209841391,fit
27914,Daniel Palencia,2025,K9,10.424050632911392,10.222382376647966,8.969612733790484,11.522091062941502,fit
18439,Danny Young,2024,K9,11.469026548672566,10.157387723188128,8.61044125482313,11.865123262200905,fit
19569,David Bednar,2021,K9,11.423076923076925,11.257475492342456,10.270633785859301,12.285094632719018,fit
19569,David Bednar,2022,K9,12.019354838709678,11.108397705462872,10.25839819779081,11.995726182694394,fit
19569,David Bednar,2023,K9,10.693069306930695,11.113026744563824,10.28935121188956,11.95544994880913,fit
19569,David Bednar,2024,K9,9.052023121387284,10.709901657594859,9.88321307506211,11.578989712532142,fit
19569,David Bednar,2025,K9,12.351063829787234,10.364201324258069,9.468703271516032,11.316585970605919,fit
8241,David Robertson,2018,K9,11.755980861244018,11.576210926440265,10.553612392141888,12.661908497411593,fit
8241,David Robertson,2022,K9,11.450261780104713,11.744872911169729,10.740308653427073,12.782814325332565,fit
8241,David Robertson,2023,K9,10.744897959183675,11.592459150465825,10.508535377786583,12.691536110895166,fit
8241,David Robertson,2024,K9,12.375,11.021117278183263,9.911573280576771,12.197117498274372,fit
20271,Daysbel Hernández,2025,K9,8.027027027027026,9.669398038325543,8.23443868225295,11.218334167097904,fit
15816,Devin Williams,2020,K9,17.666666666666668,15.20546381200847,13.774025915871706,16.676780020029888,fit
15816,Devin Williams,2021,K9,14.5,14.964280583473672,13.789596536389068,16.18677836010671,fit
15816,Devin Williams,2022,K9,14.241758241758243,14.397282892544677,13.362692874841496,15.4859545701341,fit
15816,Devin Williams,2023,K9,13.346590909090908,14.043356076446232,13.022999266997646,15.10160603479934,fit
15816,Devin Williams,2024,K9,15.784615384615385,13.19541557054628,12.146480875996717,14.289977703419067,fit
15816,Devin Williams,2025,K9,13.064516129032258,12.44935187639954,11.307093569807048,13.644011979296446,fit
11426,Drew Pomeranz,2018,K9,8.027027027027026,9.48607587661378,8.623149403071544,10.375893288770227,fit
11426,Drew Pomeranz,2019,K9,11.85576923076923,10.109234312904738,9.26340554311915,10.98959690031104,fit
11426,Drew Pomeranz,2021,K9,10.519480519480519,10.576148098627145,9.641318467880014,11.547859397037112,fit
11426,Drew Pomeranz,2025,K9,10.328859060402685,10.100708363474068,8.688985154400406,11.570039223968239,fit
19996,Dylan Lee,2022,K9,10.480263157894736,10.200693060315304,9.166282533279746,11.261477894820182,fit
19996,Dylan Lee,2023,K9,9.126760563380282,10.254924257783617,9.304910399885394,11.234733860161024,fit
19996,Dylan Lee,2024,K9,11.46368715083799,9.932053750600854,9.017770001920384,10.892593408566524,fit
19996,Dylan Lee,2025,K9,10.009756097560977,9.660169089312225,8.707081673608954,10.68819075664452,fit
20997,Eduard Bazardo,2024,K9,10.734939759036145,9.613029522150958,8.51654362883971,10.781824447017524,fit
