playerid,PlayerName,Season,outcome,observed,fitted_mean,fitted_p05,fitted_p95,type
18655,A.J. Minter,2018,ER,0.358695652173913,0.42709619780515007,0.3575697512641468,0.5027865355979878,fit
18655,A.J. Minter,2019,ER,0.7840909090909092,0.4558767778317991,0.3945417863218512,0.5214798247115344,fit
18655,A.J. Minter,2020,ER,0.0923076923076923,0.3881895494854545,0.3418239239533004,0.4369446583203187,fit
18655,A.J. Minter,2021,ER,0.4203821656050955,0.3598046941671193,0.3244994057100715,0.39670398323725703,fit
18655,A.J. Minter,2022,ER,0.22857142857142856,0.3299240276862676,0.2966016089956892,0.36495071363359166,fit
18655,A.J. Minter,2023,ER,0.41752577319587625,0.3365981643677748,0.2975177405563179,0.37835235396368755,fit
18655,A.J. Minter,2024,ER,0.2912621359223301,0.33341980251535275,0.28628208379187203,0.3852961336924587,fit
23550,Aaron Ashby,2021,ER,0.5052631578947369,0.39030074013995303,0.2994490698111339,0.49329275137110673,fit
23550,Aaron Ashby,2024,ER,0.31764705882352945,0.36197874407763414,0.31321451752394963,0.4156833844627249,fit
23550,Aaron Ashby,2025,ER,0.24,0.36897931051382454,0.31925879256561074,0.4232849173787156,fit
25327,Abner Uribe,2023,ER,0.19565217391304346,0.2479812605610029,0.18920410658797804,0.3147940042640856,fit
25327,Abner Uribe,2025,ER,0.18584070796460178,0.27196182911638384,0.22506683006847278,0.3210695000162296,fit
20039,Adrian Morejon,2022,ER,0.47058823529411764,0.33344393608888956,0.26589249817889815,0.40776336462105595,fit
20039,Adrian Morejon,2024,ER,0.31413612565445026,0.32564660272208457,0.28077680510203057,0.3735450461585638,fit
20039,Adrian Morejon,2025,ER,0.23076923076923075,0.3261381033338583,0.2842555233661661,0.37196514583619883,fit
25007,Alex Vesia,2021,ER,0.25,0.3165510810119123,0.26232013739037086,0.37388861749253016,fit
25007,Alex Vesia,2022,ER,0.23926380368098157,0.29838415875325874,0.25815056912119805,0.3396398159366616,fit
25007,Alex Vesia,2023,ER,0.48322147651006714,0.31311028281845404,0.2787857712272981,0.34881428374155166,fit
25007,Alex Vesia,2024,ER,0.19597989949748745,0.31914661949840495,0.28386293588326617,0.3553520818419512,fit
25007,Alex Vesia,2025,ER,0.335195530726257,0.3344351097554425,0.2897071834358928,0.3802067056076539,fit
21132,Alexis Díaz,2022,ER,0.2041884816753927,0.28147231841626846,0.23619172667553384,0.33047654354115735,fit
21132,Alexis Díaz,2023,ER,0.3415841584158416,0.3107842123442354,0.27014425865029607,0.3543627075867068,fit
21132,Alexis Díaz,2024,ER,0.4437869822485207,0.33345487790967326,0.2912190764906123,0.37846019495715344,fit
12828,Andrew Kittredge,2018,ER,0.8608695652173912,0.5170268896068156,0.4480951331059204,0.5914228980596818,fit
12828,Andrew Kittredge,2019,ER,0.46308724832214765,0.5241709334030062,0.463881322515187,0.5886002616536822,fit
12828,Andrew Kittredge,2021,ER,0.20930232558139533,0.37318491065735065,0.3339350074564756,0.41463390257682703,fit
12828,Andrew Kittredge,2022,ER,0.35,0.3249227021685086,0.28712109983970086,0.36600505607702755,fit
12828,Andrew Kittredge,2024,ER,0.3113207547169811,0.2959576083605443,0.24874718609051863,0.34886403089921353,fit
12828,Andrew Kittredge,2025,ER,0.37735849056603776,0.2859360446129032,0.23176589044951748,0.34697523988499956,fit
26203,Andrew Saalfrank,2025,ER,0.13793103448275862,0.3383887473408846,0.2710114078735676,0.41207408814179153,fit
20373,Andrés Muñoz,2019,ER,0.43478260869565216,0.33709322594741375,0.2574090866619551,0.42829864398622147,fit
20373,Andrés Muñoz,2022,ER,0.27692307692307694,0.26814235796511565,0.22765266354566932,0.31209622627823486,fit
