Season,mlbam_id,EV,LA,BarrelPct,HardHitPct,Events
2015,514888,86.1,11.2,3.1,28.6,580
2015,444876,84.6,9.6,0.9,16.5,553
2015,466320,89.6,9.7,2.4,36.2,553
2015,435079,86.1,17.7,2.7,26.6,549
2015,519184,83.1,5.1,0,14.6,536
2015,430947,85.7,6.6,0.9,19.4,536
2015,462101,87.3,10.1,1.5,27.1,535
2015,543829,84.5,2.1,1.1,17,535
2015,405395,90.7,14.2,7.7,38.3,533
2015,425902,90.9,9.9,6.4,44.5,530
2015,455976,88.3,6.8,0.8,33.6,530
2015,572122,89.3,16.8,7,34.6,529
2015,572041,88.9,8.9,5.7,39.1,529
2015,592518,91.4,12.8,7.6,41.7,528
2015,408252,86.2,10.7,2.3,26,524
2015,605141,90.4,15.4,5.5,37.5,524
2015,493351,84.7,8.6,1,22.2,522
2015,429664,91,5.5,7.3,45.7,521
2015,593428,88,6.8,2.5,33.8,518
2015,571448,90.6,16.3,8.3,40.2,517
2015,457763,89,10.8,6.1,37.5,512
2015,453568,86.8,15,3.7,29,511
2015,607680,85.8,14,1.8,26.5,510
2015,134181,89.5,12.6,5.5,40.4,510
2015,518626,92.5,10.5,12.2,46.5,499
2015,493316,92.2,12.2,11.1,44.8,497
2015,543333,89.8,6,7.1,40.8,495
2015,592743,86.4,3.5,1,29,490
2015,453943,89.6,18.8,9,38.8,490
2015,519203,88.7,17.3,8,38.3,488
2015,572821,87.2,19.1,5.9,31.1,488
2015,594809,88.1,7.5,3.1,30.9,486
2015,408045,89.5,4.4,3.7,39.9,486
2015,488726,89,9.5,3.9,36.2,483
2015,519058,89.4,15.2,6.4,36.5,482
2015,622110,88,7.5,4,32,481
2015,446334,89.6,15.4,8.5,39.7,481
2015,500208,88.1,11.5,2.1,31.4,475
2015,570256,89.9,10.4,4.4,39.8,475
2015,547989,91,9.9,9.3,41.8,474
2015,425509,88.2,13.4,4.4,34,474
2015,542255,85.5,6.8,1.3,19.9,473
2015,516416,86.9,4.3,1.3,27.1,472
