Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Bummer","ATL",3.18306,2.3978,0,3.70435,56.5743,0.127852,0.0248354,7.6879,1.15843,60.5525,258.808,56.3332,27.0903,24.9231,4.45782,21.7897,2.1381,4.47713,61.3842,9.12362,3.23863,2.81712,0.662571,0.237181,0.0841925,0.15298813581466675,0.242251,1.29017,0.311192,0.70995,,,3.36607,0.588284,0.545813,999,2.243,-0.689961,0.74415,2.243,0.689961,4.0078,332.60000000000014,5.452459016393445,329,5.39344262295082,,,,,,,,,,,,,,,,,,,"Aaron Bummer","16258",607481
"Kutter Crawford","BOS",4.51939,4.64481,4.10872,4.27926,40.7268,6.44173,0,2.28931,0,76.5229,316.821,69.7545,39.5485,36.3846,11.8779,21.4139,0.594063,2.9712,74.3545,8.74498,2.51853,3.47226,1.39698,0.234689,0.0675898,0.16709952801465988,0.238529,1.19139,0.280677,0.692519,,,4.16566,0.585946,0.487875,999,1.42552,-0.978324,0.525927,1.42552,0.978324,4.29876,324.20000000000005,4.210389610389611,313,4.064935064935065,,,,,,,,,,,,,,,,,,,"Kutter Crawford","20531",676710
"Raisel Iglesias","ATL",4.13099,3.64533,0,3.63137,64.1271,0,27.6819,3.91989,4.19418,66.6864,271.285,58.3762,29.2467,26.907,8.30687,17.3197,1.5266,2.31195,70.4884,9.51311,2.33746,4.06984,1.1211,0.259832,0.0638431,0.19598838686943054,0.231971,1.1351,0.289656,0.725017,,,3.52363,0.584216,0.666544,93.19000244140625,2.04634,0.840962,1.85522,2.04634,-0.840962,2.52638,485.59999999999997,7.2477611940298505,470,7.014925373134329,,,,,,,,,,,,,,,,,,,"Raisel Iglesias","17130",628452
"Fernando Cruz","NYY",3.45781,3.76915,0,3.69936,58.3636,0.0678535,1.32202,19.0285,1.92987,60.2375,252.834,47.0414,26.913,24.76,7.4116,27.6127,1.03357,2.88844,80.9085,12.0884,4.12558,2.93012,1.10736,0.320007,0.109213,0.2107938826084137,0.211581,1.23933,0.295717,0.742729,,,3.56738,0.575463,0.446444,999,2.66101,-0.657821,0.656898,2.66101,0.657821,4.12414,385.7,6.428333333333333,359,5.983333333333333,,,,,,,,,,,,,,,,,,,"Fernando Cruz","7048",518585
"Ryan Weiss","HOU",4.06019,4.51475,3.63803,4.35373,30.6705,8.97506,0,0.775198,0,73.8694,317.391,68.8117,38.8415,35.7341,9.90164,29.4914,1.03234,4.12755,71.7197,8.73808,3.59313,2.43189,1.20638,0.225967,0.0929183,0.13304834812879562,0.242489,1.33077,0.291417,0.704181,,,4.30123,0.573665,0.385708,999,2.44541,-1.31084,0.271235,2.44541,1.31084,4.63835,294.20000000000005,3.975675675675676,289,3.9054054054054053,,,,,,,,,,,,,,,,,,,"Ryan Weiss","sa3007778",680802
"Aaron Ashby","MIL",3.74665,3.3691,0.348296,3.57759,54.9472,0.573296,0.690138,9.55282,0,66.828,286.627,58.5117,28.8748,26.5648,5.35308,30.1645,0.734383,3.48158,69.0242,9.29577,4.06237,2.28826,0.720921,0.240815,0.105239,0.13557567447423935,0.231289,1.32693,0.297634,0.736635,,,3.62116,0.570674,0.686881,999,2.72814,-0.263693,0.703231,2.72814,0.263693,4.06236,364.9,5.446268656716417,354,5.2835820895522385,,,,,,,,,,,,,,,,,,,"Aaron Ashby","23550",676879
"Louis Varland","TOR",3.61065,3.22436,0.262429,3.78446,59.3922,0.358877,3.58738,14.9827,1.06942,66.5985,277.646,61.8188,30.4395,28.0043,8.30281,19.4222,1.07446,2.54744,66.4369,8.97816,2.62468,3.42067,1.12203,0.239286,0.069953,0.169332854449749,0.241785,1.21986,0.295771,0.729728,,,3.75034,0.566723,0.449708,999,3.28017,-0.635643,0.749144,3.28017,0.635643,4.00114,382.2,5.704477611940298,377,5.626865671641791,,,,,,,,,,,,,,,,,,,"Louis Varland","27691",686973
"Daniel Palencia","CHC",3.34822,3.57979,0,3.71804,62.7723,0,27.5944,4.83095,4.29934,65.9574,277.551,55.422,29.6174,27.248,6.97219,26.827,1.06562,3.48038,72.8688,9.94307,3.66059,2.71625,0.951368,0.262542,0.096656,0.16588596999645233,0.224159,1.247,0.289421,0.726074,,,3.67826,0.565369,0.460167,129.9499969482422,2.78957,-0.526008,1.89939,2.78957,0.526008,2.46748,475.30000000000007,7.201515151515153,455,6.893939393939394,,,,,,,,,,,,,,,,,,,"Daniel Palencia","27914",694037
"Charlie Morton",,4.9157,5.19613,4.90175,4.67304,14.3807,14.1383,0,0.151485,0,74.2644,327.16,71.4853,41.9131,38.5601,10.3358,33.665,0.614416,5.90024,73.6848,8.92976,4.07981,2.18877,1.25259,0.225226,0.102901,0.12232505530118942,0.248563,1.41589,0.300379,0.697366,,,4.55832,0.565287,0.411831,999,2.25873,-1.62493,0.329052,2.25873,1.62493,4.56126,268,3.6216216216216215,268,3.6216216216216215,,,,,,,,,,,,,,,,,,,"Charlie Morton","4676",450203
"Garrett Cleavinger","TBR",3.88016,3.62924,0,3.43531,64.3078,0,7.15559,20.894,4.03909,64.4128,267.476,50.9292,26.7244,24.5865,7.76085,23.6213,0.879394,4.35773,77.7869,10.8687,3.30046,3.29308,1.08438,0.290818,0.088312,0.20250637084245682,0.212651,1.15739,0.280407,0.750975,,,3.58931,0.564847,0.662195,710.9000244140625,2.00359,-0.00765327,0.89227,2.00359,0.00765327,3.81031,433.6,6.775,407,6.359375,,,,,,,,,,,,,,,,,,,"Garrett Cleavinger","17897",664076
