Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",14.1411,6.62822,18.1564,2.71879,29.5625,29.5625,0,0,0,189.895,741.659,144.634,62.3531,57.3649,18.5142,38.0161,0.657291,6.4144,230.258,10.913,1.80176,6.05686,0.877474,0.310464,0.0512582,0.2592054232954979,0.207441,0.961845,0.28123,0.767541,,,2.67941,5.95824,5.92546,6.570000171661377,3.41812,-2.11947,2.03285,3.41812,2.11947,2.28953,1123.3,5.912105263157894,1031,5.426315789473684,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",12.2757,7.7114,17.481,2.75021,29.8411,29.8411,0,0,0,184.619,732.383,143.136,61.3212,56.4155,15.3672,45.5488,0.83882,6.45764,221.724,10.8088,2.22046,4.86783,0.749137,0.302743,0.0621926,0.24055007845163345,0.210377,1.02202,0.28823,0.761876,,,2.66035,5.69448,6.02394,9.760000228881836,2.6882,0.262752,1.77382,2.6882,-0.262752,2.63491,1100.7,5.94972972972973,1018,5.5027027027027025,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",13.4264,7.58684,15.1681,3.04605,28.5024,28.5024,0,0,0.687426,176.8,706.454,141.713,65.0412,59.8379,18.9908,45.3012,1.74863,4.95214,217.224,11.0578,2.30606,4.79511,0.966726,0.307485,0.0641248,0.24336030334234238,0.21596,1.05777,0.292206,0.760302,,,2.92695,4.91589,4.93401,10.859999656677246,5.00169,-1.27603,1.40345,5.00169,1.27603,3.12873,990.8999999999999,5.598305084745762,922,5.209039548022599,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Logan Webb","SFG",13.3053,9.53928,17.0303,3.29913,30.0434,30.0434,0,0.177691,0,194.428,799.289,183.683,77.4688,71.2712,15.5024,44.0065,0.899541,5.81498,183.697,8.50329,2.03705,4.17431,0.717604,0.229826,0.0550571,0.1747685968875885,0.245085,1.17108,0.305634,0.729276,,,3.0508,4.85966,4.54734,62.810001373291016,4.87696,-0.695623,1.15475,4.87696,0.695623,3.46033,978.4000000000002,5.043298969072166,980,5.051546391752577,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Cristopher Sánchez","PHI",12.0956,7.51217,16.6148,3.19933,29.2192,29.2192,0,0,0,187.339,764.945,168.125,72.3862,66.5953,16.102,45.7861,2.17605,5.87843,181.174,8.70384,2.19962,3.95697,0.773563,0.236846,0.0598554,0.1769903600215912,0.235707,1.14184,0.294616,0.739542,,,3.14566,4.54706,4.87257,28,3.69589,-0.87048,1.10764,3.69589,0.87048,3.52314,956.2,5.113368983957219,933,4.9893048128342254,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Chris Sale","ATL",10.7218,6.05727,13.658,3.18711,25.0525,25.0525,0,0,0,153.336,621.683,126.332,59.0215,54.2998,16.3622,39.9153,0.646579,8.65561,188.343,11.0547,2.34282,4.71857,0.960375,0.302957,0.0642052,0.23875144869089127,0.220431,1.0842,0.2985,0.74805,,,3.01602,3.79348,3.89305,38.52000045776367,3.56707,-0.272524,1.06971,3.56707,0.272524,3.57372,836.8000000000001,5.469281045751634,786,5.137254901960785,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Yoshinobu Yamamoto","LAD",12.2563,6.62527,13.6985,3.24263,26.3496,26.3496,0,0,0,159.702,646.307,128.876,62.5428,57.5394,15.7515,46.8571,0.724655,4.94689,173.777,9.79318,2.64063,3.70865,0.887674,0.268876,0.0724998,0.19637669622898102,0.21678,1.10038,0.279338,0.736528,,,3.21421,3.76547,3.80289,26.709999084472656,4.18647,0.131826,1.0311,4.18647,-0.131826,3.6252,843.8000000000001,5.273750000000001,784,4.9,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Cole Ragans","KCR",9.69349,7.76799,12.7099,3.4227,25.7055,25.7055,0,0,0,150.417,614.698,119.304,62.1776,57.2034,15.8637,52.8852,1.71338,4.79561,186.398,11.1529,3.16432,3.52458,0.949182,0.303235,0.0860345,0.21720056980848312,0.214184,1.14475,0.291583,0.733508,,,3.17818,3.7186,3.23086,44.66999816894531,4.09588,-0.292078,0.87064,4.09588,0.292078,3.83915,801.8000000000001,5.3453333333333335,740,4.933333333333334,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Dylan Cease","TOR",10.5831,9.74117,12.696,3.74304,29.4358,29.4358,0,0,0,172.727,717.247,143.086,78.0824,71.8358,21.1789,66.1933,1.49993,5.33229,204.511,10.6561,3.44903,3.0896,1.10353,0.285133,0.092288,0.19284532219171524,0.221592,1.21162,0.290234,0.730378,,,3.60339,3.62184,2.84651,78.0999984741211,5.89459,-1.16823,1.12417,5.89459,1.16823,3.50111,847.1000000000001,4.896531791907515,789,4.5606936416184976,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Framber Valdez","DET",12.6917,9.474,15.6839,3.49747,28.3478,28.3478,0,0,0,183.692,766.801,163.976,77.5916,71.3843,15.6451,60.3132,0.712552,7.96731,170.575,8.3573,2.95504,2.82815,0.766532,0.22245,0.0786556,0.1437942087650299,0.234747,1.221,0.289538,0.72484,,,3.50031,3.58263,3.64854,97.80999755859375,3.69652,-2.73089,1.09984,3.69652,2.73089,3.53354,876.4000000000002,4.763043478260871,850,4.619565217391305,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Jesús Luzardo","PHI",11.6842,9.27404,14.2617,3.6563,29.0335,29.0335,0,0,0,173.264,710.647,148.214,76.5102,70.3894,21.2142,53.1749,0.809911,5.06021,191.3,9.93688,2.76211,3.59756,1.10195,0.269192,0.074826,0.194365493953228,0.227179,1.16233,0.288704,0.727355,,,3.52697,3.57645,3.35604,75.62000274658203,2.86389,-0.310832,0.973142,2.86389,0.310832,3.70248,845.1000000000001,4.884971098265897,800,4.624277456647399,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Max Fried","NYY",13.5696,7.98996,15.716,3.34185,28.4539,28.4539,0,0.174837,0,178.486,735.051,156.415,72.0378,66.2748,16.4644,52.2573,0.848492,6.98558,168.696,8.50636,2.63503,3.22818,0.830206,0.229502,0.0710934,0.15840896219015121,0.231448,1.16912,0.285236,0.736089,,,3.43978,3.56643,4.01755,54.95000076293945,2.36231,-1.9374,1.09541,2.36231,1.9374,3.53946,875.8000000000001,4.920224719101124,843,4.735955056179775,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Hunter Brown","HOU",12.1694,8.50469,15.6685,3.48657,29.2068,29.2068,0,0,0,178.103,734.405,151.425,74.9961,68.9964,19.5852,57.8042,1.49094,6.89662,192.741,9.7397,2.921,3.33437,0.989689,0.262445,0.078709,0.18373610079288483,0.226107,1.17476,0.288251,0.738315,,,3.49014,3.54857,3.50795,37.47999954223633,3.35481,0.409643,1.02379,3.35481,-0.409643,3.63495,869.6,4.885393258426967,821,4.612359550561798,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Hunter Greene","CIN",10.1433,8.07786,13.7881,3.66037,27.7159,27.7159,0,0.171861,0,165.754,676.569,131.525,73.2754,67.4133,24.424,53.1895,0.584245,9.46255,198.941,10.802,2.88805,3.74023,1.32616,0.294044,0.0786166,0.21542777121067047,0.214239,1.11439,0.274229,0.740356,,,3.78421,3.46223,3.56137,43.7599983215332,1.96695,0.480395,1.01538,1.96695,-0.480395,3.64616,802,4.831325301204819,730,4.397590361445783,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Sonny Gray","BOS",11.565,8.64909,13.344,3.79717,28.1169,28.1169,0,0,0,168.052,692.161,154.471,77.0679,70.9025,20.9315,43.4864,0.650423,5.17124,177.261,9.49319,2.32891,4.07625,1.12098,0.256098,0.062827,0.19327136129140854,0.240048,1.17796,0.299881,0.716794,,,3.51335,3.44197,3.01245,131.80999755859375,2.51834,-1.24301,0.932448,2.51834,1.24301,3.75674,794.5000000000001,4.729166666666667,777,4.625,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Bryan Woo","SEA",13.2862,8.30893,15.3092,3.40093,29.3059,29.3059,0,0,0,182.553,729.808,150.618,74.982,68.9835,24.1792,37.65,0.922359,6.94197,183.946,9.06865,1.85617,4.88568,1.19205,0.252047,0.0515889,0.2004580721259117,0.219812,1.03131,0.265021,0.733636,,,3.57453,3.40936,3.31379,39.33000183105469,3.84327,0.151073,1.3578,3.84327,-0.151073,3.1896,899.4,4.914754098360656,836,4.5683060109289615,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Jacob deGrom","TEX",9.79131,6.63815,11.7342,3.43684,25.3853,25.3853,0,0,0,152.065,605.642,124.441,63.1187,58.0692,20.8439,34.348,0.54488,4.34429,170.823,10.1102,2.03289,4.97331,1.23365,0.282052,0.0567133,0.2253391556441784,0.219492,1.04422,0.27605,0.738154,,,3.43371,3.32567,3.05267,46.7599983215332,2.84605,-0.564555,1.08629,2.84605,0.564555,3.55161,772.1,5.0796052631578945,715,4.703947368421052,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Logan Gilbert","SEA",10.1489,7.86185,13.3105,3.43441,27.8572,27.8572,0,0,0,164.496,655.667,135.246,68.2303,62.7719,21.7265,36.2326,1.10623,5.50346,183.738,10.0528,1.98238,5.07107,1.18871,0.280231,0.0552607,0.2249702550470829,0.220296,1.04245,0.277918,0.731939,,,3.37938,3.25687,2.87639,32.43000030517578,2.28951,-0.425681,1.17685,2.28951,0.425681,3.43087,834,5.085365853658536,776,4.7317073170731705,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Ranger Suárez","BOS",11.1211,8.68302,13.4756,3.68378,26.9803,26.9803,0,0,0,164.033,685.779,156.606,72.9785,67.1402,16.8484,46.5508,0.820425,5.286,147.126,8.07236,2.5541,3.16055,0.924421,0.214539,0.0678801,0.14665841311216354,0.247035,1.23851,0.297377,0.724948,,,3.6246,3.22069,3.16878,176.19000244140625,2.72903,0.653025,0.84677,2.72903,-0.653025,3.87097,734.3000000000002,4.477439024390245,737,4.4939024390243905,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
"Joe Ryan","MIN",11.1615,9.52466,13.4746,3.81337,27.9779,27.9779,0,0,0,168.485,681.966,145.401,77.596,71.3883,25.3315,38.0779,0.568754,8.19631,185.345,9.90064,2.03402,4.86754,1.35314,0.271781,0.0558354,0.21594564244151115,0.228728,1.08899,0.282506,0.715353,,,3.71347,3.17171,2.63477,71.62000274658203,1.854,0.824202,1.12238,1.854,-0.824202,3.50349,790.7,4.706547619047619,747,4.446428571428571,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"Kevin Gausman","TOR",11.411,9.99999,13.8149,3.93214,29.1002,29.1002,0,0.175706,0,179.373,739.726,163.073,85.1834,78.3687,23.9518,50.7948,1.07614,3.88372,175.293,8.79529,2.54862,3.451,1.20178,0.23697,0.068667,0.1683030053973198,0.238046,1.19231,0.286373,0.713584,,,3.83102,3.10414,2.48673,126.37999725341797,3.35883,-0.134671,1.01014,3.35883,0.134671,3.65315,790.6000000000001,4.416759776536313,768,4.290502793296089,,,,,,,,,,,,,,,,,,,"Kevin Gausman","14107",592332
"George Kirby","SEA",11.6631,8.99087,13.5079,3.62727,27.9127,27.9127,0,0,0,165.058,668.705,150.729,72.3079,66.5233,20.224,31.2973,0.644485,6.58811,160.969,8.77702,1.70653,5.14321,1.10274,0.240717,0.0468029,0.1939140222966671,0.238942,1.1028,0.290252,0.713789,,,3.46612,3.08005,2.48317,68.62000274658203,2.94955,-0.397784,0.91912,2.94955,0.397784,3.77451,790.4,4.79030303030303,773,4.684848484848485,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Kyle Bradish","BAL",8.40786,6.93282,10.6792,3.60263,25.2319,25.2319,0,0,0,140.717,580.686,120.416,61.2261,56.328,15.9402,44.4791,0.546859,6.30481,151.2,9.67047,2.8448,3.39935,1.01951,0.260382,0.0765974,0.18378427624702454,0.227241,1.17182,0.287999,0.727099,,,3.54145,2.98651,2.54209,71,3.01577,-0.544584,0.555467,3.01577,0.544584,4.25938,686.6000000000001,4.869503546099292,649,4.602836879432624,,,,,,,,,,,,,,,,,,,"Kyle Bradish","24586",680694
"Nathan Eovaldi","TEX",10.6918,7.84825,13.0273,3.65358,24.8516,24.8516,0,0.170573,0,152.968,621.586,133.512,67.4975,62.0977,18.0734,36.6867,0.948684,6.25179,147.767,8.69401,2.1585,4.0278,1.06337,0.237726,0.0590212,0.1787043735384941,0.230731,1.11265,0.279643,0.708793,,,3.58122,2.91728,2.6741,150.19000244140625,5.38697,1.08991,0.788929,5.38697,-1.08991,3.94809,729.4,4.767320261437908,698,4.562091503267974,,,,,,,,,,,,,,,,,,,"Nathan Eovaldi","9132",543135
"Chase Burns","CIN",7.46128,7.78841,9.755,3.60796,29.0522,24.272,0,0.366408,0,131.586,539.426,111.556,57.3376,52.7506,17.6635,41.4544,0.824985,3.50135,155.551,10.6391,2.83533,3.75233,1.20812,0.288363,0.0768491,0.2115141898393631,0.225607,1.16282,0.292267,0.745803,,,3.54089,2.90358,2.87572,105.76000213623047,4.64119,-0.727075,0.599122,4.64119,0.727075,4.20117,641.2000000000003,4.857575757575759,603,4.568181818181818,,,,,,,,,,,,,,,,,,,"Chase Burns","35333",695505
"Pablo López","MIN",9.74909,7.87799,11.8958,3.7884,25.9285,25.9285,0,0,0,154.818,640.495,143.855,70.8348,65.168,18.9386,39.4045,0.797347,6.71443,154.95,9.00769,2.29069,3.9323,1.10096,0.241923,0.061522,0.18040098622441292,0.242027,1.18371,0.297076,0.717244,,,3.61737,2.90145,2.53317,137.89999389648438,2.95433,-1.52446,0.632924,2.95433,1.52446,4.1561,710.9,4.586451612903225,700,4.516129032258065,,,,,,,,,,,,,,,,,,,"Pablo Lopez","17085",641154
"Zack Wheeler","PHI",9.04728,5.16825,11.7672,3.30118,20.0744,20.0744,0,0,0,125.966,507.901,102.327,50.2217,46.204,14.8066,33.7593,0.525886,5.54062,145.429,10.3906,2.41203,4.30783,1.0579,0.286334,0.0664684,0.21986594051122665,0.218368,1.08035,0.283823,0.744338,,,3.29015,2.86951,3.11252,122.19000244140625,4.16676,-0.32486,0.854587,4.16676,0.32486,3.86055,652.7,5.18015873015873,605,4.801587301587301,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Freddy Peralta","NYM",11.9625,8.59185,12.3229,3.76498,28.3478,28.3478,0,0,0,163.892,678.955,134.144,74.523,68.5611,21.8563,60.4189,0.629584,7.46586,182.529,10.0234,3.31785,3.02106,1.20022,0.268838,0.0889881,0.17985007911920547,0.219523,1.18714,0.276104,0.732111,,,3.88397,2.85648,2.74914,59.56999969482422,3.45131,-0.40225,0.997628,3.45131,0.40225,3.66983,759.6,4.631707317073171,699,4.262195121951219,,,,,,,,,,,,,,,,,,,"Freddy Peralta","18679",642547
"Brandon Woodruff","MIL",9.69648,7.14897,10.766,3.71469,24.9668,24.9668,0,0.174569,0,143.751,583.95,121.106,64.4916,59.3323,20.3854,38.8152,0.486566,5.7128,152.417,9.54254,2.43015,3.92673,1.2763,0.26101,0.06647,0.19453983008861542,0.224511,1.11249,0.274728,0.726355,,,3.78738,2.78537,2.63947,105,2.96655,-0.658421,0.741534,2.96655,0.658421,4.01129,674.0000000000001,4.680555555555556,629,4.368055555555555,,,,,,,,,,,,,,,,,,,"Brandon Woodruff","16162",605540
"Michael King","SDP",10.1328,8.42972,11.3231,3.73097,27.9694,27.9694,0.147965,0.177401,1.06264,159.091,665.739,139.827,71.6863,65.9514,21.031,55.8195,1.68535,7.13931,165.513,9.36331,3.1578,2.96514,1.18976,0.248615,0.0838459,0.16476910561323166,0.23197,1.22978,0.285404,0.745835,,,3.96016,2.75891,2.74092,127.9000015258789,3.4,-0.378648,0.803415,3.4,0.378648,3.92878,697.3000000000002,4.38553459119497,665,4.182389937106918,,,,,,,,,,,,,,,,,,,"Michael King","19853",650633
"Blake Snell","LAD",9.67992,6.50276,11.4088,3.44424,23.7808,23.7808,0,0,0,136.07,562.033,104.898,56.6011,52.073,14.4744,58.0239,1.03718,3.14855,166.836,11.035,3.83785,2.8753,0.957373,0.296844,0.103239,0.19360481202602386,0.209435,1.19734,0.28297,0.745285,,,3.41449,2.75878,2.84156,89.86000061035156,2.63779,0.015049,0.761014,2.63779,-0.015049,3.98531,712.2,5.236764705882353,649,4.772058823529412,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
"José Soriano","LAA",9.82428,10.0665,12.8909,3.7696,29.518,29.518,0,0.231276,0.197319,168.272,720.233,149.303,76.6083,70.4797,14.4282,72.3017,1.30171,8.95694,155.963,8.34167,3.86705,2.15712,0.771689,0.216545,0.100387,0.1161588728427887,0.233661,1.31695,0.287837,0.719924,,,3.8448,2.68669,2.77389,438.6700134277344,2.39149,-1.00325,1.17745,2.39149,1.00325,3.43007,752.6,4.479761904761905,727,4.3273809523809526,,,,,,,,,,,,,,,,,,,"Jose Soriano","22100",667755
"Drew Rasmussen","TBR",9.81264,7.80623,10.1618,3.68121,28.7042,28.7042,0.165943,0,0,154.87,635.087,140.29,68.8535,63.3452,18.1247,38.9831,0.819833,5.14336,139.429,8.10272,2.26544,3.57667,1.05329,0.219544,0.0613823,0.15816153213381767,0.237393,1.15758,0.281873,0.717483,,,3.71073,2.68164,2.79801,153.42999267578125,4.53159,0.43221,0.579511,4.53159,-0.43221,4.22732,707.5999999999999,4.56516129032258,687,4.432258064516129,,,,,,,,,,,,,,,,,,,"Drew Rasmussen","25385",656876
"Nick Pivetta","SDP",10.7661,9.22102,13.6794,3.92401,28.771,28.771,0,0,0,172.301,704.212,146.855,81.656,75.1235,26.9459,51.2234,1.10262,4.73783,187.555,9.79676,2.67561,3.6615,1.4075,0.266333,0.0727386,0.1935940757393837,0.22654,1.1496,0.276447,0.726033,,,3.9655,2.63549,2.53049,98,1.64193,1.03998,1.04712,1.64193,-1.03998,3.60385,766.4999999999998,4.456395348837208,717,4.1686046511627906,,,,,,,,,,,,,,,,,,,"Nick Pivetta","15454",601713
"Eury Pérez","MIA",8.67745,8.74809,9.19325,3.91675,26.8681,26.8681,0,0,0,144.008,590.337,118.948,68.1212,62.6715,20.2131,47.5403,0.612372,4.78603,160.151,10.0089,2.97111,3.36874,1.26325,0.271287,0.0805307,0.1907564476132393,0.221089,1.15611,0.276068,0.711826,,,3.82571,2.59983,2.36176,85.9000015258789,2.86923,-0.392609,0.700618,2.86923,0.392609,4.06584,671.2000000000002,4.661111111111112,621,4.3125,,,,,,,,,,,,,,,,,,,"Eury Perez","27768",691587
"MacKenzie Gore","TEX",9.61796,9.82525,11.8771,3.91913,27.9731,27.9731,0,0,0,157.553,663.078,137.925,74.5736,68.6077,20.4464,60.2279,0.660921,6.44585,177.144,10.1191,3.44044,2.94123,1.16797,0.267154,0.0908308,0.1763233095407486,0.231262,1.25769,0.294571,0.728961,,,3.84306,2.57694,2.13371,180.7100067138672,4.43872,-1.54088,1.00529,4.43872,1.54088,3.65961,720.4000000000001,4.559493670886076,686,4.341772151898734,,,,,,,,,,,,,,,,,,,"MacKenzie Gore","22201",669022
"Jack Flaherty","DET",9.94598,9.70622,11.6139,4.05202,27.5866,27.5866,0,0,0,156.221,654.957,140.104,76.4505,70.3345,21.1431,53.5456,1.06884,6.7041,172.061,9.91254,3.0848,3.21335,1.21807,0.262705,0.0817544,0.18095094710588455,0.235585,1.23959,0.296289,0.714414,,,3.84879,2.57224,2.03289,226.19000244140625,2.61731,-0.817395,0.999008,2.61731,0.817395,3.66799,693.1000000000001,4.442948717948719,668,4.282051282051282,,,,,,,,,,,,,,,,,,,"Jack Flaherty","17479",656427
"Kris Bubic","KCR",8.09658,7.56278,10.1082,3.7335,29.0286,23.136,0.0118048,0.513803,1.69391,133.178,556.763,121.663,60.0507,55.2466,13.8111,43.1278,1.74137,4.42542,129.223,8.73276,2.91453,2.99629,0.933336,0.232097,0.0774616,0.1546357348561287,0.238925,1.23737,0.294536,0.720084,,,3.61387,2.50673,2.24792,214.3800048828125,2.56835,0.74616,0.424967,2.56835,-0.74616,4.43338,615.8,4.630075187969925,604,4.541353383458647,,,,,,,,,,,,,,,,,,,"Kris Bubic","21455",663460
"Spencer Strider","ATL",10.6577,8.56673,10.7928,3.93331,25.837,25.837,0,0,0,151.773,632.877,130.088,72.0979,66.33,20.4862,54.4275,0.667821,6.70311,177.849,10.5463,3.22751,3.26764,1.21481,0.281017,0.0860001,0.195017009973526,0.227527,1.21573,0.293514,0.721389,,,3.75457,2.46356,2.40581,93.19000244140625,2.85384,-0.142114,0.972606,2.85384,0.142114,3.70319,713.8,4.696052631578947,673,4.427631578947368,,,,,,,,,,,,,,,,,,,"Spencer Strider","27498",675911
"Matthew Boyd","CHC",10.4404,8.50713,12.0462,3.8834,26.7896,26.7896,0,0,0,156.446,648.852,143.019,73.3744,67.5045,20.6748,43.7941,0.899282,6.78246,142.669,8.20746,2.51939,3.25772,1.18938,0.219879,0.0674948,0.1523842066526413,0.239052,1.19411,0.281295,0.718565,,,3.9991,2.4554,2.4391,234.6699981689453,3.98786,3.40886,0.683036,3.98786,-3.40886,4.08928,657.3000000000002,4.21346153846154,640,4.102564102564102,,,,,,,,,,,,,,,,,,,"Matthew Boyd","15440",571510
"Tanner Bibee","CLE",10.9164,9.90457,12.1909,3.97808,29.0312,29.0312,0,0,0,176.278,735.41,162.317,84.6916,77.9162,24.101,52.2618,1.00389,7.86262,164.805,8.41426,2.66827,3.15346,1.2305,0.2241,0.0710649,0.15303505212068558,0.240368,1.21728,0.284174,0.718255,,,4.06592,2.45078,2.24302,183.0500030517578,3.11048,-1.88216,0.96147,3.11048,1.88216,3.71804,736,4.181818181818182,718,4.079545454545454,,,,,,,,,,,,,,,,,,,"Tanner Bibee","30134",676440
"Trevor Rogers","BAL",9.42408,8.51428,11.6392,4.01951,26.7736,26.7736,0,0,0,157.891,665.145,149.566,76.6479,70.516,18.8071,50.8278,1.26566,5.28759,136.343,7.77174,2.89725,2.68245,1.07203,0.204983,0.0764162,0.1285664364695549,0.245582,1.26919,0.288093,0.710924,,,4.02279,2.40309,1.91972,166.2899932861328,3.75698,1.20069,0.771067,3.75698,-1.20069,3.97191,649.5,4.110759493670886,647,4.094936708860759,,,,,,,,,,,,,,,,,,,"Trevor Rogers","22286",669432
"Aaron Nola","PHI",9.82593,9.59821,12.1453,4.14842,27.1168,27.1168,0,0,0,162.409,676.133,153.398,81.3697,74.8602,24.7565,44.5268,0.661078,5.11161,158.587,8.7882,2.46748,3.56162,1.3719,0.23455,0.0658551,0.16869539767503738,0.244851,1.21868,0.290288,0.713898,,,4.08074,2.39334,2.21749,209.13999938964844,3.77054,-0.714602,0.945,3.77054,0.714602,3.74,661.5,4.083333333333333,653,4.030864197530864,,,,,,,,,,,,,,,,,,,"Aaron Nola","16149",605400
"Tyler Glasnow","LAD",7.99679,5.87657,10.8018,3.69183,22.7358,22.7358,0,0,0,130.73,536.146,103.738,58.2891,53.626,16.0378,48.5346,0.464411,3.4484,152.868,10.5241,3.34132,3.14967,1.10411,0.285124,0.0905249,0.19459886848926544,0.214263,1.16478,0.278186,0.723954,,,3.58418,2.39099,2.40002,118.13999938964844,2.46684,-0.808452,0.55063,2.46684,0.808452,4.26583,652.2000000000002,4.978625954198474,597,4.557251908396947,,,,,,,,,,,,,,,,,,,"Tyler Glasnow","14374",607192
"Andrew Abbott","CIN",9.90945,8.97762,10.7849,4.17638,27.5819,27.5819,0,0,0,162.738,681.554,153.229,82.0838,75.5171,26.0635,50.6709,0.810095,4.08813,148.72,8.22476,2.80229,2.93501,1.44141,0.218207,0.0743461,0.14386079460382462,0.244463,1.25293,0.281331,0.727646,,,4.39891,2.38447,2.44241,215.75999450683594,4.25165,-0.114959,0.972274,4.25165,0.114959,3.70363,621.6000000000001,3.813496932515338,610,3.7423312883435584,,,,,,,,,,,,,,,,,,,"Andrew Abbott","29911",671096
"Sandy Alcantara","MIA",10.0792,10.7931,12.1174,4.1565,28.0114,28.0114,0,0,0,173.393,730.564,168.292,87.0418,80.0784,20.2765,50.3473,0.89424,6.94868,142.97,7.42091,2.61329,2.83968,1.05246,0.195698,0.0689157,0.1267826035618782,0.249963,1.26095,0.290215,0.691701,,,3.99758,2.35341,2.29389,155.6699981689453,3.47699,-0.743071,0.996102,3.47699,0.743071,3.67186,712.4000000000001,4.117919075144509,720,4.161849710982659,,,,,,,,,,,,,,,,,,,"Sandy Alcantara","18684",645261
"Shohei Ohtani","LAD",7.31315,4.6068,7.80856,3.3684,21.223,21.223,0,0,0,107.965,437.226,85.6702,43.9212,40.4075,13.074,32.9822,0.497854,4.39619,128.448,10.7075,2.74942,3.89447,1.08986,0.29378,0.0754353,0.2183447778224945,0.214257,1.09899,0.281026,0.744715,,,3.36856,2.34008,2.39221,1.3300000429153442,1.72541,0.194005,0.744682,1.72541,-0.194005,4.00709,560.7,5.191666666666667,516,4.777777777777778,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Nick Lodolo","CIN",8.86469,7.88555,11.0337,4.01376,26.169,26.169,0,0,0,147.769,618.311,136.162,71.6314,65.9009,21.4965,37.655,1.05585,12.886,148.731,9.05862,2.29341,3.94984,1.30927,0.240544,0.0608997,0.17964443191885948,0.239818,1.17628,0.288435,0.710995,,,4.03936,2.32927,2.46283,129.52000427246094,1.95359,0.0666894,0.66477,1.95359,-0.0666894,4.11364,628.3000000000001,4.245270270270271,612,4.135135135135135,,,,,,,,,,,,,,,,,,,"Nick Lodolo","26378",666157
"Brady Singer","CIN",10.63,11.1338,11.9242,4.39836,29.0385,29.0385,0,0,0,166.566,708.56,161.316,88.4805,81.4021,23.9024,53.0512,0.633598,9.48487,154.077,8.32516,2.86649,2.90431,1.29151,0.217451,0.0748718,0.1425788402557373,0.249706,1.28698,0.293591,0.695876,,,4.27694,2.32338,2.1103,360.760009765625,2.74516,0.0000602573,1.39838,2.74516,-0.0000602573,3.13549,643.9999999999999,3.8562874251497,645,3.8622754491017965,,,,,,,,,,,,,,,,,,,"Brady Singer","25377",663903
"David Peterson","NYM",9.21581,7.37854,12.7432,3.9166,27.4998,27.4998,0,0,0,159.804,685.871,152.206,75.5903,69.5431,15.6438,61.2824,1.79687,7.35358,142.604,8.0313,3.45137,2.32699,0.881045,0.207916,0.0893497,0.11856631934642792,0.246593,1.33594,0.297529,0.719767,,,3.91153,2.30764,2.38318,469.19000244140625,4.13293,-0.0835435,1.11688,4.13293,0.0835435,3.51083,674,4.2125,674,4.2125,,,,,,,,,,,,,,,,,,,"David Peterson","20302",656849
"Mitch Keller","PIT",9.16769,11.3987,13.2118,4.32472,29.496,29.496,0,0,0,174.551,742.765,172.525,91.1694,83.8759,22.1786,52.3001,0.871394,9.9966,152.72,7.8744,2.69664,2.92007,1.14355,0.20561,0.0704128,0.13519762456417084,0.253539,1.28802,0.297381,0.689747,,,4.10776,2.29855,2.06807,612.2899780273438,1.6726,-1.46443,1.22726,1.6726,1.46443,3.36366,694.6000000000001,3.9691428571428577,709,4.051428571428572,,,,,,,,,,,,,,,,,,,"Mitch Keller","17594",656605
