Season,mlbam_id,EV,LA,BarrelPct,HardHitPct,Events
2018,571466,87.1,12.4,3.5,30.3,370
2018,503556,89.1,11.3,6.8,41.5,370
2018,546991,86.6,8.3,1.4,27.4,369
2018,660162,91,15.4,9.6,44.2,365
2018,621020,88,14.1,4.1,34,365
2018,452655,87.2,13.3,2.7,29.6,365
2018,649557,89.1,13.7,7.4,39.6,364
2018,594777,90.4,12.1,9.3,43.1,364
2018,570731,86.4,11.5,5,30.6,363
2018,457708,90.7,11.9,14,47.4,363
2018,621035,88.9,16.4,8.3,38.5,362
2018,518618,87.4,15.8,6.1,37.8,361
2018,543068,88,15.2,12.2,36.6,361
2018,622666,88,12.6,5,33.7,359
2018,542583,89.8,16.2,11.4,42.9,359
2018,502210,85.6,18.2,3.9,27,359
2018,518960,86.9,13.5,2.2,27.5,357
2018,502054,93,6.6,10.1,49.9,357
2018,575929,88.2,8,7.3,33.3,357
2018,461314,89.6,15.8,11,39.1,354
2018,596059,90.7,13.9,7.1,38.7,354
2018,471865,89.7,9,6.2,39.1,353
2018,527038,86.3,17.1,2.8,27.1,353
2018,475253,89.5,15,10.8,42.5,352
2018,517369,89,4.7,3.4,37.4,351
2018,570256,88.9,20.1,9.4,37.8,351
2018,545361,91.2,18.6,16.5,46.2,351
2018,457763,89.1,10.3,5.2,34.9,347
2018,134181,88.7,13.6,6.4,37.4,345
2018,598265,92.2,12.3,10.3,50.1,341
2018,592567,88.2,10.7,5.3,35.9,340
2018,594694,83.1,12.8,2.4,19,333
2018,571771,89.1,16.5,7.2,37,333
2018,605412,86.6,9.9,2.7,29.7,333
2018,462101,87.2,8.7,4.2,30.5,331
2018,542340,88.5,3.2,5.1,36,331
2018,646240,90.9,11.2,9.1,42,331
2018,467827,86.8,9.2,2.7,26.6,331
2018,664068,86.2,17.4,5.4,31.7,331
2018,608365,86.7,11.8,2.2,26.5,324
2018,434778,92.3,10,12.1,52.6,323
2018,460075,92.3,6.4,10.8,49.5,323
2018,572041,89.2,13.5,10,40.6,321
2018,543257,87.1,15.1,2.2,28.4,320
2018,624577,89.5,12.1,10.6,41,320
2018,518735,88.9,14.1,11.6,40.4,319
2018,657557,89.3,19.1,9.1,40.3,318
2018,606192,91.9,16.9,15.5,46.2,316
2018,665742,90.5,6.2,9.8,42.2,316
2018,650402,88.9,19,9.2,36.8,315
2018,592626,91.5,15.8,8.3,40.6,314
2018,594828,87.6,17.8,7.6,34.4,314
2018,592348,88,11.1,8,35.4,314
2018,660670,90.9,13.1,13.4,46.6,313
2018,457759,89.1,18.3,7.7,36.7,313
2018,543510,87.8,16.2,5.1,37.4,313
2018,474568,87.6,13.1,4.8,31.8,311
2018,435559,87.2,18.4,3.9,35,310
2018,641553,87,14.7,2.6,32.5,308
2018,519048,91,11.5,12.1,44.8,307
2018,491676,87.5,12.6,7.5,35.8,307
2018,545341,90.7,18.7,14.4,43.4,305
2018,453943,89.5,18.5,6.9,37.1,304
2018,467092,91.3,4.4,7.2,48.2,304
2018,571506,88.9,10,10.3,39.1,302
2018,543939,87.6,9.1,3.3,30.9,302
2018,621043,88.2,11.6,7,33.4,302
2018,643396,84.9,7,0.7,23.7,300
2018,592669,89.9,18.4,12.4,43.6,299
2018,608384,88.8,10.5,6.8,38,296
2018,474832,87,23.3,10.5,31.6,294
2018,581527,88.4,7.8,5.1,37.8,293
2018,608336,94.3,21.9,22.5,49.5,293
2018,607043,89.9,10.7,6.5,42.1,293
2018,502517,87.6,16.2,4.8,29,291
2018,656941,90.9,12.3,12.7,45,291
2018,592444,88.8,12.7,5.9,35.5,290
2018,523253,87.3,10.4,1,29.8,289
2018,543228,88.9,18.7,8.4,38.7,287
2018,592178,85.8,17.8,9.1,33.5,285
2018,543281,85.9,15.7,3.9,26.1,283
2018,594988,90.2,8.7,10.6,42.8,283
2018,448801,89.3,15.1,10.3,40.1,282
2018,592192,87,15.5,9,34.8,279
2018,455117,85.7,14.7,5,26.5,279
2018,576397,87.3,15.2,7.6,31.7,278
2018,608671,85.6,3.3,0.7,19.3,276
2018,571602,90,13.8,12.1,42.3,272
2018,542921,87.1,9.8,5.9,35.3,272
2018,457727,86.7,7.9,4.1,33.1,269
2018,594807,89,22.6,10.4,41.6,268
2018,608597,86.6,14.1,6.4,33.1,267
2018,624428,88,10.4,4.1,31.5,267
2018,592450,94.7,12.4,16.2,54.1,266
2018,571970,90.3,18.3,16.9,46.4,266
2018,429664,93,8.2,8.3,51.5,265
2018,592261,84.3,7.9,1.1,14,264
2018,594953,92.3,11.6,14.4,49,264
2018,435522,88.1,13.7,6.1,33.3,264
2018,621446,89.5,7.5,8.7,39.2,264
2018,606115,86.3,4,2.3,28.6,263
2018,664056,87.1,13.7,6.9,30.8,260
2018,460576,87.1,19.8,5,29.3,259
2018,541645,90.3,9.6,11.6,43.2,259
2018,501303,86.6,16.4,5,30.6,259
2018,594809,87.7,9,3.1,30.4,257
2018,664058,84,13.4,0.4,20.4,255
2018,465041,88.8,16.3,8.3,39.8,254
2018,641531,89.5,12.9,10.6,40.2,254
2018,571788,87.9,6.8,3.6,30.8,250
2018,444489,84.9,13.9,5.2,26.6,249
2018,628338,86.4,11.1,2.8,26.9,249
2018,570799,86.7,20.8,9.7,31.3,248
2018,588751,87.2,13.6,2.4,33.6,247
2018,541650,87.9,11.5,4.9,32.5,246
2018,518614,89,19.1,10.2,35.2,246
2018,595375,87.6,7.9,5.3,29,245
2018,457803,88.4,21.4,9,34.8,245
2018,444432,92.8,10.4,10.2,48.6,245
2018,595281,86,7.5,4.5,29,245
2018,593871,85.8,17.8,3.7,28.3,244
2018,547982,89.1,18.3,10.7,38.7,243
2018,489149,88.7,20.5,10.9,38.2,239
2018,572191,88.5,8.1,6.3,34.3,239
2018,434158,88.7,16.9,6.3,34.3,239
2018,608385,90.9,13.6,6.3,42.2,237
2018,475582,92.6,7.1,13.6,52.8,235
2018,571431,88.7,19,10.3,39.9,233
2018,641598,89,12.7,5.6,38.8,232
2018,596142,90.3,14.2,13.9,41.6,231
2018,593700,84.1,13.8,3.9,21.9,229
2018,446263,89.5,19.6,10,36.7,229
2018,641343,87.6,12.1,7,31.3,227
2018,572287,89.5,18,13.8,44.9,225
2018,660271,92.9,12.4,16,51.1,225
2018,622168,87.4,4.6,4,30.4,224
2018,594011,87.3,2.4,2.2,32.6,224
2018,664023,90,14.1,12.2,40.5,222
2018,455139,88,21.9,10.8,39.6,222
2018,571976,90.5,9.4,7.3,45.7,219
2018,451594,85.3,12.6,3.2,28,218
2018,553882,85.6,12.9,2.8,25.3,217
2018,466320,90.7,9.1,2.3,41.7,217
2018,455104,92,13.6,9.3,43.7,216
2018,643393,84.1,11.6,0.5,17.7,215
2018,553869,89.6,10.4,6.5,40.5,215
2018,430832,90.8,19.4,7.9,43.2,215
2018,457706,87,11.1,2.8,32.4,215
2018,595978,85.6,16.1,6.5,29.9,214
2018,640461,91.3,14,14.2,42.9,212
2018,518586,85.2,8.5,5.2,30.7,212
2018,656185,86.7,7.9,1.4,30.2,212
2018,501896,90.3,7.3,9,45,211
2018,543877,87.4,13,1.9,29,211
2018,572008,87.8,13.4,5.8,33.7,208
2018,431145,90.6,10.1,6.3,43,207
2018,502143,90.7,9.2,7.7,41,207
2018,621002,86.6,7.7,5.3,34.8,207
2018,595751,91.7,8.4,10.6,44.2,207
2018,543308,87.9,14.6,5.8,34.5,206
2018,643446,86.6,15.5,2.4,28.9,205
2018,547170,86.8,14.6,5.9,34.6,205
2018,609275,90,13.7,10.4,36.6,202
2018,543376,85.1,13,1.5,29.4,199
2018,595885,87.9,19.6,10.6,33.3,198
2018,460026,88.9,15.6,6.6,39.6,197
2018,592325,88.7,7.2,3,33.5,197
2018,642715,86.7,8.5,6.6,29.6,196
2018,506702,84.7,17,4.6,25.8,194
2018,605486,88.4,8.2,5.7,38.3,194
2018,544725,88,6.8,2.6,31.6,194
2018,446308,87.1,18.5,4.7,33.3,193
2018,666971,91.1,11.1,7.8,45.6,193
2018,519023,86.6,20.6,6.2,28.5,193
2018,408314,85.4,12.7,2.6,24.3,190
2018,595909,89.2,10.5,14.5,38.2,186
2018,446359,85.6,17.4,2.2,27.7,185
2018,621311,88.7,14.3,9.3,38.8,183
2018,614177,92.3,6.8,11.6,47.5,181
2018,519222,88.6,9.6,5,38,179
2018,467055,89.6,9.7,5,36.9,179
2018,452254,88.2,6.1,5.1,33.7,178
2018,502481,85.3,11,1.7,19.3,176
2018,600524,89,15.7,8.5,36.4,176
2018,456665,89.3,11.8,10.8,39.2,176
2018,452095,90,12.9,6.8,44.6,176
2018,553988,85.7,11,3.4,25.7,175
2018,608700,86.9,11.6,4.6,35.6,175
2018,593528,85.9,19.3,7.7,28.7,168
2018,622682,85.4,6.2,3,26.2,168
2018,472528,89.7,18.2,10.1,41.3,168
2018,456124,89.8,12.9,4.8,39.2,166
2018,519306,88.7,16.2,7.8,39.8,166
2018,640447,85.9,16.7,4.3,34.6,162
2018,643603,89,17,9.3,36.4,162
2018,445988,87.5,9.3,2.5,26.1,162
2018,543484,87.9,12.4,6.3,35,160
2018,491696,85.9,11.3,0.6,24.5,159
2018,572073,85.2,18.3,3.8,20.3,158
2018,459964,87.4,14.8,7,31.8,157
2018,624585,89.6,10.6,10.3,41.3,156
2018,607345,87.9,0.3,4.5,35.1,154
2018,571437,90.4,10.2,9.7,45.8,154
2018,500135,86,13.1,3.2,31.2,154
2018,607054,87.7,10.6,3.2,32.5,154
2018,593934,90.3,12.6,11.1,44.8,153
2018,527043,88.2,6.1,4.6,36.6,153
2018,434658,84.2,9.6,1.3,27,153
2018,592122,89,15.1,15.8,44.1,152
2018,435263,86.3,23.6,3.3,26.5,151
2018,608654,86.7,14.2,5.3,30.5,151
2018,547172,85,4.9,3.3,21.9,151
2018,519346,91,19.3,16.7,43.3,150
2018,543543,91.1,11.2,10.7,49,150
2018,641583,88.4,15.2,4.1,40.4,147
2018,545358,89.9,5.8,8.8,45.6,147
2018,446386,85.4,16.2,4.8,31.3,147
2018,641319,87,15.4,4.1,25.9,147
2018,594824,84.3,11.8,2.7,25.2,147
2018,571875,88.2,5,6.2,37.9,146
2018,448602,89,18.3,10.3,39.3,145
2018,434670,91.9,11.5,7.6,47.9,144
2018,600474,84,14.5,2.1,19.4,144
2018,600303,86,8.1,1.4,24.6,142
2018,605170,88.8,6.4,3.5,37.3,142
2018,640457,88.2,13.7,6.4,39.3,140
2018,571974,87,22.3,10,31.4,140
2018,571912,89.3,11.1,5.1,43.1,137
2018,570267,89.1,11.7,10.2,39.7,137
2018,596847,90.3,13.8,11.7,43.1,137
2018,408236,88.9,11.6,6.6,38,137
2018,596119,86,13.9,5.2,26.7,135
2018,656775,89.3,10.1,3,28.9,135
2018,518626,90.2,11.6,10.4,41.4,134
2018,451192,85.9,11.2,3.7,26.1,134
2018,605131,87.6,5.6,3.7,31.5,134
2018,453923,84.6,15.1,3.8,23.5,133
2018,571980,89,6.3,4.5,38.9,133
2018,425772,87.6,15.4,3,34.1,132
2018,545350,86.7,19.5,8.4,31.3,131
2018,400284,87.7,17.2,2.3,32.5,131
2018,596103,87.3,2.6,2.3,35.1,131
2018,623520,93.5,3.7,11,53.2,127
2018,460077,86.5,18.4,1.6,26.2,126
2018,502226,83.9,9.6,1.6,21.4,126
2018,592407,83.6,15,0.8,17.6,125
2018,605512,90.8,11.7,4,39.5,124
2018,456078,90.4,15.5,9.7,46.8,124
2018,435062,90.2,7.9,4.8,44.4,124
2018,475247,87.8,0.3,2.5,28.1,122
2018,571595,86.4,11.2,1.6,27,122
2018,454560,90.4,12.5,4.2,39.5,119
2018,547379,90.8,8.3,5.9,42.6,118
2018,641857,89.3,7.5,5.1,44.1,118
2018,605361,88,2.9,2.6,40.2,117
2018,534606,87.8,11.4,3.5,33.9,115
2018,595284,88.4,13.5,8.8,39.5,114
2018,642423,83.6,2.9,0,14.4,111
2018,592200,86.9,14.4,4.5,30.9,110
2018,542364,84.9,12.8,0,22.7,110
2018,543776,84.6,7,0,24.8,109
2018,657656,89.8,10.3,11.1,41.7,108
2018,408234,94.4,7.3,4.6,54.6,108
2018,488671,89.7,8.6,12.3,46.2,106
2018,605509,83.5,2.5,0.9,16,106
2018,571718,88.6,12.3,8.7,38.5,104
2018,656811,91.4,17.7,12.5,44.2,104
2018,435064,80.9,11,2.9,22.5,102
2018,570481,89.7,3.2,2.9,43,102
2018,628336,85.4,11.7,3,36.6,101
2018,501659,89.8,8.1,8,37,100
2018,572228,93,15.3,20,54,100
2018,571851,84.7,12.4,1,20.4,98
2018,621453,85.7,13,4.1,30.6,98
2018,596451,87.5,9,2.1,27.8,97
2018,642086,87.6,17.2,6.3,31.3,96
2018,592863,87.8,9.8,2.1,34.4,96
2018,642082,88.4,13.6,4.3,28.7,94
2018,642162,84.8,16.1,3.2,21.3,94
2018,493316,90.8,19.7,10.8,46.2,93
2018,664040,89.3,14.3,10.9,43.5,92
2018,506747,85.5,7.2,3.3,27.2,92
2018,553902,87.3,12.1,5.5,29.7,91
2018,621573,87.5,14.6,5.5,34.1,91
2018,446481,88.2,20.3,7.8,29.2,90
2018,592680,89.7,3.5,4.4,28.1,90
2018,621493,86.9,16.2,7.8,33.3,90
2018,650490,92.1,4.4,4.4,44.4,90
2018,607468,87.2,9.6,1.1,31.5,89
2018,605508,79.8,-0.3,0,16.9,89
2018,607387,90.4,14.4,10.1,40.4,89
2018,624636,80.7,12.4,0,13.6,88
2018,642851,85.6,8,3.4,27.3,88
2018,573135,91.3,17,6.8,43.2,88
2018,641856,88.8,18.7,8,37.9,87
2018,572365,87,6.5,1.1,26.4,87
2018,591741,89,9.7,7.1,36.5,85
2018,608369,91.4,9.9,8.2,40.5,85
2018,614173,94.1,7.3,12.9,51.9,85
2018,461865,81.1,11.2,1.2,16.7,84
2018,591720,81.8,10.4,1.2,9.5,84
2018,593993,86.6,10.3,4.8,34.9,83
2018,641487,88.2,16.2,4.9,34.1,82
2018,458913,85,2.8,1.2,24.4,82
2018,596144,89.1,13,3.7,34.6,81
2018,572204,85.6,18.7,5,32.5,80
2018,623993,87.6,16.2,5,26.3,80
2018,455759,83.8,25.5,6.4,28.6,78
2018,641432,87.2,11.6,2.6,23.4,77
2018,519299,85.1,15.7,1.3,23.7,76
2018,516472,82.6,11.2,6.6,19.7,76
2018,641933,92.1,22.2,22.7,45.3,75
2018,641525,89.6,11.3,9.3,40,75
2018,476883,90.6,12.2,14.7,44,75
2018,605204,88.5,8.8,8.1,36.5,74
2018,656669,86.3,16.6,6.8,24.3,74
2018,608475,86.2,1.4,1.4,28.4,74
2018,621433,85.5,10.4,4.1,29.7,74
2018,502082,84.9,20.8,2.7,28.8,73
2018,602922,85.9,12.8,11.4,35.7,70
2018,571679,90.6,10.5,5.8,35.3,69
2018,592230,86.9,21.8,4.3,30.4,69
2018,620446,87,13,1.4,33.3,69
2018,621028,83.5,5.7,1.4,17.4,69
2018,572033,84.9,14.4,2.9,22.1,68
2018,607776,87.3,2,7.5,40.3,67
2018,606988,87.9,10.7,7.5,35.8,67
2018,449181,88.3,11.7,1.5,33.8,65
2018,643376,85.1,21.1,9.2,27.7,65
2018,657077,88.4,4.8,4.7,34.5,64
2018,641645,87.2,7.4,0,31.3,64
2018,621439,87.8,13.9,1.6,27,63
2018,605548,90.2,5.3,8.1,42.9,62
2018,607257,86.2,19.3,4.9,27.6,61
2018,596129,92.4,10.1,11.5,52.5,61
2018,453286,82.5,-1.2,1.6,16.4,61
2018,621512,85.7,8.8,1.7,32.2,59
2018,488818,89,20.9,5.2,34.5,58
2018,605421,88.2,17.9,1.7,29.3,58
2018,608701,88.2,12.6,6.9,33.3,58
2018,592273,88.2,13.4,7,35.1,57
2018,621044,84.9,20.4,1.8,16.1,56
2018,518902,83.9,11.2,1.8,21.4,56
2018,664057,89,7.7,3.6,35.7,56
2018,543309,88.4,28,10.7,30.4,56
2018,571918,87.1,6.2,5.4,25,56
2018,591971,85.1,13.9,1.8,18.2,55
2018,571657,86.5,12.3,0,33.3,54
2018,608566,87.2,1.9,3.7,22.2,54
2018,596105,87.9,8.9,3.8,24.5,53
2018,543302,90,17.5,7.5,52.8,53
2018,592685,88.4,13.1,9.6,36.5,52
2018,425844,87.5,11.6,3.8,25,52
2018,519333,85.2,17,1.9,24.5,52
2018,425784,90.2,18.3,11.8,45.1,51
2018,501571,88.4,5.8,0,31.4,51
2018,542208,86.5,24.4,0,19.6,51
2018,663656,90.7,15.5,3.9,45.1,51
2018,542979,85,3,6,30,50
2018,506703,87,9.1,6,28.6,50
2018,595956,85.8,21.2,8,24,50
2018,642133,88.7,10.6,12,40,50
2018,608596,85.6,20.8,6.1,24.5,49
2018,599096,86.4,24.3,12.5,25,48
2018,468504,86.5,7.2,0,16.7,48
2018,621514,86.9,17.4,6.3,27.1,48
2018,645302,85,20.4,6.3,22.9,48
2018,624407,88.1,13.1,4.2,27.1,48
2018,463610,85.7,15.8,2.1,23.4,47
