TEAM,PLAYER,THR,PROJECTED ROLE,"Sun 
 2/22","Sat 
 2/21","Fri 
 2/20","Thu 
 2/19","Wed 
 2/18","Tue 
 2/17",vFA,vSI,G,IP,ERA,Sv,HLD,K/9,K%,NameASCII,PlayerId,MLBAMID
PIT,Mason Montgomery,L,Middle Reliever,,,,,,,98.6362,,57,46,5.67391,1,10,12.3261,0.301435,Mason Montgomery,29770,682254
PIT,Carmen Mlodzinski,R,Middle Reliever,,,,,,,96.0758,95.7806,34,99,3.54545,0,3,8.09091,0.21241,Carmen Mlodzinski,27572,669387
PIT,Evan Sisk,L,Middle Reliever,,,,,,,90.6544,90.0447,19,17.2,3.56604,0,2,12.7358,0.3125,Evan Sisk,24995,681895
PIT,Yohan Ramírez,R,Long Reliever,,,,,,,96.2406,96.5195,24,33.1,5.4,0,1,12.15,0.290323,Yohan Ramirez,19444,670990
SDP,Mason Miller,R,Closer,,,,,,,101.226,,60,61.2,2.62703,22,10,15.1784,0.444444,Mason Miller,31757,695243
SDP,Adrian Morejon,L,Setup Man,,,,,,,96.6176,97.7465,75,73.2,2.07692,3,20,8.55204,0.244755,Adrian Morejon,20039,670970
SDP,Jason Adam,R,Setup Man,,,,,,,94.6794,,65,65.1,1.92857,0,29,9.64286,0.259259,Jason Adam,11861,592094
SDP,Jeremiah Estrada,R,Middle Reliever,,,,,,,97.9135,,77,73,3.45205,3,30,13.3151,0.355263,Jeremiah Estrada,22210,669093
SDP,David Morgan,R,Middle Reliever,,,,,,,97.8213,96.8487,41,47.1,2.66197,0,1,9.50704,0.259067,David Morgan,31616,688158
SDP,Wandy Peralta,L,Middle Reliever,,,,,,,95.3923,95.3867,71,71.2,3.13953,0,4,7.91163,0.201278,Wandy Peralta,14295,593974
SDP,Yuki Matsui,L,Middle Reliever,,,,,,,92.1052,91.4844,61,63.1,3.97895,1,3,8.66842,0.224265,Yuki Matsui,33826,673513
SDP,Ron Marinaccio,R,Long Reliever,,,,,,,94.1011,,7,10.2,0.84375,0,0,10.125,0.285714,Ron Marinaccio,23488,676760
SDP,Jhony Brito,R,60-Day IL,,,,,,,,,,,,,,,,Jhony Brito,25386,666745
SEA,Andrés Muñoz,R,Closer,,,,,,,98.5158,97.8374,64,62.1,1.73262,38,0,11.984,0.326772,Andres Munoz,20373,662253
SEA,Matt Brash,R,Setup Man,,,,,,,95.7552,96.4158,53,47.1,2.47183,4,21,11.0282,0.291457,Matt Brash,25756,666374
SEA,Jose A. Ferrer,L,Setup Man,,,,,,,96.9156,97.7808,72,76.1,4.48035,11,21,8.37118,0.219136,Jose A. Ferrer,24017,678606
SEA,Eduard Bazardo,R,Middle Reliever,,,,,,,95.1291,95.4836,73,78.2,2.51695,0,12,9.38136,0.261981,Eduard Bazardo,20997,660825
SEA,Gabe Speier,L,Middle Reliever,,,,,,,95.0952,94.435,76,62,2.6129,0,24,11.9032,0.337449,Gabe Speier,17170,642100
SEA,Carlos Vargas,R,Middle Reliever,,,,,,,96.5128,97.6321,70,77,3.97403,1,14,6.31169,0.163142,Carlos Vargas,22915,672841
SEA,Casey Legumina,R,Middle Reliever,,,,,,,94.3764,93.9424,48,49.2,5.61745,0,3,9.96644,0.251142,Casey Legumina,25921,668984
SEA,Cooper Criswell,R,Long Reliever,,,,,,,,89.5752,7,17.2,3.56604,1,0,4.58491,0.1125,Cooper Criswell,24975,681867
SFG,Ryan Walker,R,Closer,,,,,,,,95.9881,68,61.1,4.1087,17,9,8.80435,0.225564,Ryan Walker,20423,676254
SFG,Joel Peguero,R,Setup Man,,,,,,,99.9291,99.7194,17,22.1,2.41791,0,4,6.85075,0.197674,Joel Peguero,21951,666711
SFG,Erik Miller,L,Setup Man,,,,,,,97.254,97.2345,36,30,1.5,0,10,6.6,0.171875,Erik Miller,26252,669062
SFG,José Buttó,R,Middle Reliever,,,,,,,95.3366,94.7972,55,67,3.89552,1,6,7.79104,0.204225,Jose Butto,23313,676130
SFG,Gregory Santos,R,Middle Reliever,,,,,,,,97.6242,8,7,5.14286,0,1,0,0,Gregory Santos,21894,666619
SFG,Matt Gage,L,Middle Reliever,,,,,,,92.4152,92.8693,33,31,3.19355,0,2,7.83871,0.19708,Matt Gage,17381,657424
SFG,Spencer Bivens,R,Middle Reliever,,,,,,,95.1444,94.8239,54,81,4,3,4,6.77778,0.177843,Spencer Bivens,30226,702352
SFG,JT Brubaker,R,Long Reliever,,,,,,,,93.2763,17,28.2,3.76744,0,0,6.90698,0.188034,JT Brubaker,17578,664141
SFG,Sam Hentges,L,Projected Injured List,,,,,,,,,,,,,,,,Sam Hentges,18548,656529
SFG,Jason Foley,R,60-Day IL,,,,,,,,,,,,,,,,Jason Foley,19531,671345
SFG,Randy Rodríguez,R,60-Day IL,,,,,,,97.4557,,50,50.2,1.77632,4,13,11.9013,0.338384,Randy Rodriguez,23974,678495
STL,Riley O'Brien,R,Co-Closer,,,,,,,,97.92,42,48,2.0625,6,6,8.4375,0.226131,Riley O'Brien,20348,676617
STL,JoJo Romero,L,Co-Closer,,,,,,,94.2994,93.6912,65,61,2.06557,8,24,8.11475,0.215686,JoJo Romero,19574,668941
STL,Matt Svanson,R,Setup Man,,,,,,,96.5569,96.7815,39,60.1,1.93923,0,5,10.1436,0.290598,Matt Svanson,29629,694335
STL,Ryne Stanek,R,Middle Reliever,,,,,,,98.6123,,65,56,5.30357,3,11,9.32143,0.227451,Ryne Stanek,15947,592773
STL,Justin Bruihl,L,Middle Reliever,,,,,,,,90.1964,15,13.2,5.26829,0,4,11.8537,0.276923,Justin Bruihl,23779,677865
STL,Matt Pushard,R,Middle Reliever,,,,,,,,,,,,,,,,Matt Pushard,sa3019955,690155
STL,George Soriano,R,Middle Reliever,,,,,,,96.0431,95.6249,24,36.2,8.34546,1,0,8.83636,0.208092,George Soriano,21863,666277
STL,Gordon Graceffo,R,Long Reliever,,,,,,,95.7348,94.6059,26,43,6.27907,1,0,8.37209,0.207254,Gordon Graceffo,29519,700669
TBR,Edwin Uceta,R,Closer Committee,,,,,,,93.8851,93.892,70,76,3.78947,1,21,12.1974,0.320872,Edwin Uceta,20539,670955
TBR,Griffin Jax,R,Closer Committee,,,,,,,97.0192,96.427,73,66,4.22727,0,28,13.5,0.349823,Griffin Jax,20253,643377
TBR,Garrett Cleavinger,L,Closer Committee,,,,,,,97.0596,96.2556,67,61.1,2.34783,2,21,12.0326,0.337449,Garrett Cleavinger,17897,664076
TBR,Bryan Baker,R,Middle Reliever,,,,,,,96.6968,,73,68.2,4.06311,3,19,10.8786,0.30292,Bryan Baker,19804,641329
TBR,Mason Englert,R,Middle Reliever,,,,,,,93.8517,92.7772,29,44.2,3.82836,0,1,8.86567,0.237838,Mason Englert,22288,669438
TBR,Steven Wilson,R,Middle Reliever,,,,,,,93.9758,,59,55.1,3.41566,2,9,8.29518,0.211618,Steven Wilson,20353,621051
TBR,Cole Sulser,R,Middle Reliever,,,,,,,92.8865,,18,22.2,1.98529,0,0,8.73529,0.244444,Cole Sulser,15256,642121
TBR,Yoendrys Gómez,R,Long Reliever,,,,,,,93.6744,93.2989,21,62.2,5.17021,1,0,8.32979,0.209386,Yoendrys Gomez,22872,672782
TBR,Manuel Rodríguez,R,60-Day IL,,,,,,,96.9288,97.2616,31,30.1,2.07692,0,11,7.41758,0.206612,Manuel Rodriguez,20794,655889
TEX,Robert Garcia,L,Closer,,,,,,,94.544,,71,64,2.95312,9,15,9.5625,0.252788,Robert Garcia,23363,676395
TEX,Chris Martin,R,Setup Man,,,,,,,94.8937,94.3937,49,42.1,2.97638,2,13,9.14173,0.247126,Chris Martin,11847,455119
TEX,Cole Winn,R,Setup Man,,,,,,,96.2986,95.458,33,41.2,1.512,0,4,7.56,0.216049,Cole Winn,22113,668390
TEX,Jakob Junis,R,Middle Reliever,,,,,,,91.2678,91.1025,57,66.2,2.97,0,6,7.425,0.20073,Jakob Junis,13619,596001
TEX,Alexis Díaz,R,Middle Reliever,,,,,,,93.5828,,18,17.2,8.15094,0,4,8.66038,0.2,Alexis Diaz,21132,664747
TEX,Tyler Alexander,L,Middle Reliever,,,,,,,90.8797,90.589,52,97.2,4.97611,1,3,7.55631,0.193853,Tyler Alexander,17735,641302
TEX,Josh Sborz,R,Middle Reliever,,,,,,,,,,,,,,,,Josh Sborz,18323,622250
TEX,Carter Baumler,R,Long Reliever,,,,,,,,,,,,,,,,Carter Baumler,sa3014480,691945
TOR,Jeff Hoffman,R,Closer,,,,,,,96.3551,96.4717,71,68,4.36765,33,0,11.1176,0.292683,Jeff Hoffman,17432,656546
TOR,Tyler Rogers,R,Setup Man,,,,,,,,83.4979,81,77.1,1.97845,0,32,5.58621,0.160535,Tyler Rogers,15541,643511
TOR,Louis Varland,R,Setup Man,,,,,,,98.1287,96.9795,74,72.2,2.97248,0,22,9.28899,0.253378,Louis Varland,27691,686973
TOR,Brendon Little,L,Middle Reliever,,,,,,,95.3626,93.4131,79,68.1,3.02927,1,30,11.9854,0.308475,Brendon Little,21574,663893
TOR,Braydon Fisher,R,Middle Reliever,,,,,,,95.5486,,52,50,2.7,0,5,11.16,0.306931,Braydon Fisher,24609,680755
TOR,Tommy Nance,R,Middle Reliever,,,,,,,,94.5186,30,31.2,1.98947,0,5,9.09474,0.253968,Tommy Nance,19178,667297
TOR,Mason Fluharty,L,Middle Reliever,,,,,,,,91.7017,55,52.2,4.44304,1,5,9.56962,0.260465,Mason Fluharty,31553,689254
TOR,Eric Lauer,L,Long Reliever,,,,,,,91.6413,,28,104.2,3.18153,0,1,8.7707,0.239437,Eric Lauer,19316,641778
TOR,Yimi García,R,Projected Injured List,,,,,,,96.1437,95.3073,22,21,3.85714,3,6,10.7143,0.277778,Yimi Garcia,12095,554340
WSN,Clayton Beeter,R,Co-Closer,,,,,,,96.3988,,26,25.1,4.26316,1,9,11.7237,0.317308,Clayton Beeter,27494,690925
WSN,Cole Henry,R,Co-Closer,,,,,,,94.4845,94.6225,57,52.2,4.27215,2,9,8.88608,0.215768,Cole Henry,27570,669371
WSN,PJ Poulin,L,Setup Man,,,,,,,90.741,89.6673,28,24.2,3.64865,1,5,9.85135,0.245455,PJ Poulin,23394,676571
WSN,Julian Fernández,R,Middle Reliever,,,,,,,97.0369,,4,5,5.4,0,1,9,0.25,Julian Fernandez,18341,642759
WSN,Jackson Rutledge,R,Middle Reliever,,,,,,,95.7333,95.2405,63,73.1,5.76818,0,3,7.97727,0.19697,Jackson Rutledge,26215,671131
WSN,Richard Lovelady,L,Middle Reliever,,,,,,,91.4822,91.0917,10,11.2,8.48571,0,2,9.25714,0.210526,Richard Lovelady,19337,663992
WSN,Gus Varland,R,Middle Reliever,,,,,,,,,,,,,,,,Gus Varland,24737,681402
WSN,Griff McGarry,R,Long Reliever,,,,,,,,,,,,,,,,Griff McGarry,sa3017130,676046
