TEAM,PLAYER,THR,PROJECTED ROLE,"Sun 
 2/22","Sat 
 2/21","Fri 
 2/20","Thu 
 2/19","Wed 
 2/18","Tue 
 2/17",vFA,vSI,G,IP,ERA,Sv,HLD,K/9,K%,NameASCII,PlayerId,MLBAMID
BAL,Colin Selby,R,60-Day IL,,,,,,,95.7306,95.4137,11,14,3.21429,0,0,9,0.233333,Colin Selby,24986,681882
BOS,Aroldis Chapman,L,Closer,,,,,,,98.4798,99.4639,67,61.1,1.17391,32,4,12.4728,0.372807,Aroldis Chapman,10233,547973
BOS,Garrett Whitlock,R,Setup Man,,,,,,,,95.945,62,72,2.25,1,24,11.375,0.31058,Garrett Whitlock,20191,676477
BOS,Justin Slaten,R,Setup Man,,,,,,,96.8738,,36,34,4.23529,3,6,6.61765,0.182482,Justin Slaten,25648,686580
BOS,Greg Weissert,R,Middle Reliever,,,,,,,94.2054,93.9099,72,67,2.8209,4,17,7.65672,0.205036,Greg Weissert,20375,669711
BOS,Zack Kelly,R,Middle Reliever,,,,,,,96.1983,96.2106,28,35.1,4.58491,0,3,8.91509,0.230263,Zack Kelly,20349,677161
BOS,Jovani Morán,L,Middle Reliever,,,,,,,92.229,,2,4,6.75,0,0,11.25,0.25,Jovani Moran,20422,663558
BOS,Kyle Keller,R,Middle Reliever,,,,,,,,,,,,,,,,Kyle Keller,18890,664918
BOS,Ryan Watson,R,Long Reliever,,,,,,,,,,,,,,,,Ryan Watson,sa3015070,670245
CHC,Daniel Palencia,R,Closer,,,,,,,99.5815,97.7345,54,52.2,2.90506,22,6,10.4241,0.283721,Daniel Palencia,27914,694037
CHC,Phil Maton,R,Setup Man,,,,,,,,89.7717,63,61.1,2.78804,5,22,11.8859,0.326613,Phil Maton,18064,664208
CHC,Hunter Harvey,R,Setup Man,,,,,,,96.421,,12,10.2,0,0,5,9.28125,0.282051,Hunter Harvey,15507,640451
CHC,Caleb Thielbar,L,Middle Reliever,,,,,,,92.8542,,67,58,2.63793,1,25,8.68966,0.254545,Caleb Thielbar,10078,573204
CHC,Jacob Webb,R,Middle Reliever,,,,,,,93.5073,,55,66,3,1,7,7.90909,0.217228,Jacob Webb,19274,657097
CHC,Hoby Milner,L,Middle Reliever,,,,,,,88.0206,87.6411,73,70.1,3.83886,0,18,7.4218,0.197952,Hoby Milner,13346,571948
CHC,Javier Assad,R,Middle Reliever,,,,,,,91.9451,92.0097,8,37,3.64865,0,0,5.59459,0.150327,Javier Assad,21741,665871
CHC,Colin Rea,R,Long Reliever,,,,,,,93.8215,92.8171,32,159.1,3.95397,1,0,7.17364,0.191843,Colin Rea,12317,607067
CHW,Seranthony Domínguez,R,Closer,,,,,,,97.6561,97.8163,67,62.2,3.15957,2,20,11.3457,0.302682,Seranthony Dominguez,19249,622554
CHW,Jordan Leasure,R,Setup Man,,,,,,,96.4142,96.2336,68,64.1,3.9171,7,14,11.3316,0.301115,Jordan Leasure,29950,673929
CHW,Grant Taylor,R,Setup Man,,,,,,,98.6573,,36,36.2,4.90909,6,9,13.2545,0.343949,Grant Taylor,33927,691799
CHW,Sean Newcomb,L,Middle Reliever,,,,,,,93.3925,92.5488,48,92.1,2.72924,2,4,8.87004,0.232737,Sean Newcomb,16943,656794
CHW,Mike Vasil,R,Middle Reliever,,,,,,,94.7332,94.4517,47,101,2.49505,4,2,7.30693,0.193853,Mike Vasil,30105,678024
CHW,Brandon Eisert,L,Middle Reliever,,,,,,,89.7981,88.3359,72,69.2,4.39234,2,8,9.55981,0.24183,Brandon Eisert,27668,685126
CHW,Jordan Hicks,R,Middle Reliever,,,,,,,97.4369,97.5011,34,67.1,6.9505,2,2,7.75248,0.184713,Jordan Hicks,19618,663855
CHW,Jedixson Paez,R,Long Reliever,,,,,,,,,,,,,,,,Jedixson Paez,sa3016264,699151
CHW,Prelander Berroa,R,Projected Injured List,,,,,,,,,,,,,,,,Prelander Berroa,22932,672860
CIN,Emilio Pagán,R,Closer,,,,,,,95.7194,,70,68.2,2.8835,32,2,10.6165,0.3,Emilio Pagan,14771,641941
CIN,Tony Santillan,R,Setup Man,,,,,,,96.1929,,80,73.2,2.44344,7,33,9.1629,0.249169,Tony Santillan,19926,663574
CIN,Graham Ashcraft,R,Setup Man,,,,,,,,,62,65.1,3.9949,0,23,8.81633,0.225352,Graham Ashcraft,27552,668933
CIN,Pierce Johnson,R,Middle Reliever,,,,,,,95.2343,,65,59,3.05085,1,16,9,0.247899,Pierce Johnson,13435,572955
CIN,Caleb Ferguson,L,Middle Reliever,,,,,,,93.9824,93.9451,70,65.1,3.58163,0,14,7.02551,0.188889,Caleb Ferguson,19349,657571
CIN,Brock Burke,L,Middle Reliever,,,,,,,96.2513,93.5177,69,61.2,3.35676,0,15,7.58919,0.202335,Brock Burke,17968,656271
CIN,Connor Phillips,R,Middle Reliever,,,,,,,98.0527,,21,25,2.88,0,1,11.52,0.326531,Connor Phillips,27649,683175
CIN,Sam Moll,L,Long Reliever,,,,,,,92.0629,91.3649,23,18.1,6.38182,0,2,10.8,0.271605,Sam Moll,14874,594580
CLE,Cade Smith,R,Closer,,,,,,,96.4886,,76,73.2,2.93213,16,19,12.7059,0.346667,Cade Smith,27867,671922
CLE,Hunter Gaddis,R,Setup Man,,,,,,,94.7205,,73,66.2,3.105,3,35,9.855,0.266423,Hunter Gaddis,25636,683769
CLE,Shawn Armstrong,R,Setup Man,,,,,,,93.6378,94.2784,71,74,2.31081,9,12,9,0.260563,Shawn Armstrong,12857,542888
CLE,Erik Sabrowski,L,Middle Reliever,,,,,,,93.8917,,33,29.1,1.84091,0,12,12.8864,0.347107,Erik Sabrowski,24978,681870
CLE,Matt Festa,R,Middle Reliever,,,,,,,91.9136,93.1544,63,54.2,4.11585,0,12,9.21951,0.247788,Matt Festa,19330,670036
CLE,Tim Herrin,L,Middle Reliever,,,,,,,94.7477,93.5662,54,42.2,4.85156,0,15,9.49219,0.231959,Tim Herrin,25139,682120
CLE,Connor Brogdon,R,Middle Reliever,,,,,,,95.5205,,43,47,5.55319,0,4,9.38298,0.246231,Connor Brogdon,21205,641401
CLE,Peyton Pallette,R,Long Reliever,,,,,,,,,,,,,,,,Peyton Pallette,sa3020742,688883
CLE,Andrew Walters,R,Projected Injured List,,,,,,,96.545,,2,1.1,13.5,0,0,13.5,0.333333,Andrew Walters,33834,689958
CLE,Emmanuel Clase,R,Restricted List,,,,,,,,98.6014,48,47.1,3.23239,24,1,8.93662,0.233831,Emmanuel Clase,21032,661403
COL,Victor Vodnik,R,Closer,,,,,,,98.6935,,52,50.2,3.01974,10,7,8.70395,0.227907,Victor Vodnik,24614,680767
COL,Jimmy Herget,R,Setup Man,,,,,,,93.0058,92.0432,59,83.1,2.484,0,9,8.748,0.233429,Jimmy Herget,17556,623474
COL,Juan Mejia,R,Setup Man,,,,,,,96.6089,,55,61.1,3.96196,1,12,9.97826,0.260536,Juan Mejia,23237,675848
COL,Seth Halvorsen,R,Middle Reliever,,,,,,,100.075,,42,39.2,4.9916,11,4,8.16807,0.208092,Seth Halvorsen,33294,678020
COL,Brennan Bernardino,L,Middle Reliever,,,,,,,92.3071,90.7327,55,51.2,3.13548,1,2,7.49032,0.191964,Brennan Bernardino,16835,657514
COL,RJ Petit,R,Middle Reliever,,,,,,,,,,,,,,,,RJ Petit,sa3017848,696275
COL,Keegan Thompson,R,Middle Reliever,,,,,,,,,,,,,,,,Keegan Thompson,19795,624522
COL,Antonio Senzatela,R,Long Reliever,,,,,,,95.0634,92.554,30,130,6.64615,0,0,5.05385,0.118123,Antonio Senzatela,15488,622608
COL,Jeff Criswell,R,60-Day IL,,,,,,,,,,,,,,,,Jeff Criswell,27608,676105
DET,Kenley Jansen,R,Closer,,,,,,,,93.2922,62,59,2.59322,29,0,8.69491,0.24359,Kenley Jansen,3096,445276
DET,Will Vest,R,Setup Man,,,,,,,96.8428,96.1812,64,68.2,3.01456,23,3,9.8301,0.264085,Will Vest,19769,676684
DET,Kyle Finnegan,R,Setup Man,,,,,,,96.4106,,56,57,3.47368,24,3,8.68421,0.240175,Kyle Finnegan,15009,640448
DET,Tyler Holton,L,Middle Reliever,,,,,,,92.1467,91.5697,70,78.2,3.66102,0,17,7.32203,0.205128,Tyler Holton,26231,663947
DET,Brenan Hanifee,R,Middle Reliever,,,,,,,96.1973,95.3809,54,60,3,0,10,6,0.153846,Brenan Hanifee,22304,669724
DET,Brant Hurter,L,Middle Reliever,,,,,,,92.1836,92.3572,43,63,2.42857,2,5,9.71429,0.245487,Brant Hurter,30133,676428
DET,Beau Brieske,R,Middle Reliever,,,,,,,96.0074,95.9183,22,22,6.54545,1,5,6.54545,0.15534,Beau Brieske,26079,689225
DET,Drew Anderson,R,Long Reliever,,,,,,,,,,,,,,,,Drew Anderson,15130,623454
HOU,Josh Hader,L,Closer,,,,,,,,95.4414,48,52.2,2.05063,28,0,12.9873,0.368932,Josh Hader,14212,623352
HOU,Bryan Abreu,R,Setup Man,,,,,,,97.2471,95.8385,70,71,2.28169,7,25,13.3099,0.35473,Bryan Abreu,16609,650556
HOU,Bryan King,L,Setup Man,,,,,,,91.9359,90.8518,68,68,2.77941,2,27,9.13235,0.250909,Bryan King,25890,687911
HOU,Enyel De Los Santos,R,Middle Reliever,,,,,,,96.1795,,65,66,4.36364,0,6,8.45455,0.221429,Enyel De Los Santos,18403,660853
HOU,Steven Okert,L,Middle Reliever,,,,,,,91.9696,,68,71.2,3.01395,1,10,10.5488,0.304348,Steven Okert,13580,595345
HOU,Nate Pearson,R,Middle Reliever,,,,,,,97.6638,97.2246,11,14.2,9.20455,0,1,4.29545,0.0933333,Nate Pearson,20160,663878
HOU,Roddery Muñoz,R,Long Reliever,,,,,,,96.1158,95.6502,9,11,8.18182,0,0,11.4545,0.27451,Roddery Munoz,25311,682610
KCR,Carlos Estévez,R,Closer,,,,,,,96.0749,,67,66,2.45455,42,0,7.36364,0.200743,Carlos Estevez,14542,608032
KCR,Lucas Erceg,R,Setup Man,,,,,,,97.7793,97.6745,61,61.1,2.6413,2,22,7.04348,0.192771,Lucas Erceg,19360,668674
KCR,Matt Strahm,L,Setup Man,,,,,,,92.192,92.258,66,62.1,2.74332,6,22,10.107,0.273438,Matt Strahm,13799,621381
KCR,John Schreiber,R,Middle Reliever,,,,,,,93.9745,93.4512,74,64,3.79688,1,23,8.71875,0.233962,John Schreiber,20020,670167
KCR,Nick Mears,R,Middle Reliever,,,,,,,95.3651,,63,56.2,3.49412,1,16,7.30588,0.208145,Nick Mears,25376,683232
KCR,Daniel Lynch IV,L,Middle Reliever,,,,,,,94.2446,93.9005,57,67.2,3.05911,1,7,5.98522,0.155709,Daniel Lynch IV,21537,663738
KCR,Alex Lange,R,Middle Reliever,,,,,,,96.1538,96.4077,1,1,0,0,0,9,0.166667,Alex Lange,19883,656638
KCR,Bailey Falter,L,Long Reliever,,,,,,,92.2756,92.2541,26,125.1,4.45213,0,0,5.81649,0.156371,Bailey Falter,20070,663559
LAA,Robert Stephenson,R,Closer Committee,,,,,,,96.5247,,12,10,2.7,0,0,9,0.238095,Robert Stephenson,13594,596112
LAA,Drew Pomeranz,L,Closer Committee,,,,,,,92.6099,,57,49.2,2.1745,1,14,10.3289,0.280788,Drew Pomeranz,11426,519141
LAA,Kirby Yates,R,Closer Committee,,,,,,,92.7504,,50,41.1,5.22581,3,15,11.3226,0.292135,Kirby Yates,9073,489446
LAA,Jordan Romano,R,Middle Reliever,,,,,,,95.3751,,49,42.2,8.22656,8,7,9.91406,0.251337,Jordan Romano,16122,605447
LAA,Ryan Zeferjahn,R,Middle Reliever,,,,,,,97.457,96.5203,62,57,4.73684,2,17,11.5263,0.284047,Ryan Zeferjahn,25420,666171
LAA,Brent Suter,L,Middle Reliever,,,,,,,,89.0408,48,67.2,4.52217,0,0,7.04926,0.182131,Brent Suter,13942,608718
LAA,José Fermin,R,Middle Reliever,,,,,,,96.9543,96.6432,40,34.1,4.45631,0,6,10.2233,0.256579,Jose Fermin,33908,820862
LAA,Chase Silseth,R,Long Reliever,,,,,,,95.5407,95.0364,10,11,1.63636,0,1,10.6364,0.265306,Chase Silseth,30074,681217
LAA,Ben Joyce,R,Projected Injured List,,,,,,,101.552,94.9504,5,4.1,6.23077,0,2,2.07692,0.05,Ben Joyce,31461,690829
LAD,Edwin Díaz,R,Closer,,,,,,,97.3531,,62,66.1,1.62814,28,0,13.2965,0.379845,Edwin Diaz,14710,621242
LAD,Tanner Scott,L,Setup Man,,,,,,,96.5358,,61,57,4.73684,23,8,9.47368,0.252101,Tanner Scott,17586,656945
LAD,Alex Vesia,L,Setup Man,,,,,,,92.686,,68,59.2,3.01676,5,25,12.067,0.337553,Alex Vesia,25007,681911
LAD,Blake Treinen,R,Middle Reliever,,,,,,,95.181,95.8565,32,26.2,5.4,2,10,12.15,0.27907,Blake Treinen,12572,595014
LAD,Jack Dreyer,L,Middle Reliever,,,,,,,92.6366,,67,76.1,2.9476,4,10,8.72489,0.241042,Jack Dreyer,30249,676263
LAD,Will Klein,R,Middle Reliever,,,,,,,97.7794,,14,15.1,2.34783,0,1,12.3261,0.3,Will Klein,27787,694361
LAD,Justin Wrobleski,L,Middle Reliever,,,,,,,96.0138,94.9576,24,66.2,4.32,2,6,10.26,0.271429,Justin Wrobleski,31204,680736
LAD,Edgardo Henriquez,R,Middle Reliever,,,,,,,100.777,100.675,22,19,2.36842,1,5,8.52632,0.230769,Edgardo Henriquez,26944,683618
LAD,Ben Casparius,R,Long Reliever,,,,,,,96.1641,94.948,46,77.2,4.63519,2,13,8.22747,0.213213,Ben Casparius,30085,676508
LAD,Brusdar Graterol,R,Projected Injured List,,,,,,,,,,,,,,,,Brusdar Graterol,20367,660813
LAD,Brock Stewart,R,Projected Injured List,,,,,,,96.2135,96.1623,43,37.2,2.62832,0,16,10.5133,0.27673,Brock Stewart,16727,592779
LAD,Evan Phillips,R,60-Day IL,,,,,,,95.712,95.6127,7,5.2,0,1,2,9.52941,0.272727,Evan Phillips,17734,623465
MIA,Pete Fairbanks,R,Closer,,,,,,,97.2747,,61,60.1,2.83425,27,0,8.80111,0.241803,Pete Fairbanks,17998,664126
MIA,Calvin Faucher,R,Setup Man,,,,,,,95.9904,95.7852,65,60.1,3.28177,15,7,8.80111,0.231373,Calvin Faucher,20116,676534
MIA,Tyler Phillips,R,Setup Man,,,,,,,96.0483,95.4328,54,77.2,2.78112,4,8,6.02575,0.166134,Tyler Phillips,20629,663969
MIA,Anthony Bender,R,Middle Reliever,,,,,,,95.9518,96.6072,51,50,2.16,4,19,7.56,0.205882,Anthony Bender,19742,669622
MIA,Cade Gibson,L,Middle Reliever,,,,,,,91.9117,91.5338,44,54.2,2.63415,0,4,7.07927,0.186957,Cade Gibson,31815,806188
MIA,Andrew Nardi,L,Middle Reliever,,,,,,,,,,,,,,,,Andrew Nardi,25942,677053
MIA,John King,L,Middle Reliever,,,,,,,93.4084,93.0341,51,48.1,4.65517,0,3,5.21379,0.126126,John King,22051,667463
MIA,Janson Junk,R,Long Reliever,,,,,,,93.5638,,21,110,4.17273,1,0,6.3,0.17226,Janson Junk,23301,676083
MIA,Ronny Henriquez,R,60-Day IL,,,,,,,96.6802,95.0901,69,73,2.21918,7,26,12.0822,0.323432,Ronny Henriquez,24094,678692
MIL,Abner Uribe,R,Co-Closer,,,,,,,99.5521,98.7034,75,75.1,1.67257,7,37,10.7522,0.302013,Abner Uribe,25327,682842
MIL,Trevor Megill,R,Co-Closer,,,,,,,99.0751,,50,47,2.48936,30,0,11.4894,0.3125,Trevor Megill,17722,656730
MIL,Jared Koenig,L,Setup Man,,,,,,,95.7697,95.7892,72,66,2.86364,2,27,9.27273,0.253731,Jared Koenig,27517,657649
MIL,Aaron Ashby,L,Setup Man,,,,,,,96.839,97.214,43,66.2,2.16,3,5,10.26,0.281481,Aaron Ashby,23550,676879
MIL,Angel Zerpa,L,Middle Reliever,,,,,,,96.425,96.752,69,64.2,4.17526,0,14,8.07217,0.210909,Angel Zerpa,22717,672582
MIL,Grant Anderson,R,Middle Reliever,,,,,,,93.3641,93.147,66,69.2,3.22967,0,6,9.55981,0.247492,Grant Anderson,20546,681982
MIL,Rob Zastryzny,L,Middle Reliever,,,,,,,91.8092,,26,22,2.45455,0,2,8.18182,0.215054,Rob Zastryzny,15094,642239
MIL,DL Hall,L,Long Reliever,,,,,,,93.9332,94.5739,20,38.2,3.49138,0,1,6.28448,0.174194,DL Hall,22207,669084
MIN,Taylor Rogers,L,Closer,,,,,,,,92.6955,57,50.2,3.375,0,10,9.41447,0.239819,Taylor Rogers,13449,573124
MIN,Justin Topa,R,Setup Man,,,,,,,,94.1867,54,60,3.9,4,4,7.35,0.182836,Justin Topa,15145,623437
MIN,Kody Funderburk,L,Setup Man,,,,,,,,93.2984,39,41,3.5122,1,7,8.78049,0.218579,Kody Funderburk,24993,681892
MIN,Cole Sands,R,Middle Reliever,,,,,,,95.0524,93.9853,69,72,4.5,3,13,8,0.214047,Cole Sands,21461,663485
MIN,Anthony Banda,L,Middle Reliever,,,,,,,95.985,95.768,71,65,3.18462,0,11,8.44615,0.227612,Anthony Banda,14706,607455
MIN,Andrew Chafin,L,Middle Reliever,,,,,,,89.6191,89.7775,42,33.2,2.40594,0,4,9.62376,0.251748,Andrew Chafin,12988,605177
MIN,Eric Orze,R,Middle Reliever,,,,,,,93.8444,,33,41.2,3.024,3,1,8.64,0.224719,Eric Orze,27626,679358
MIN,Travis Adams,R,Long Reliever,,,,,,,94.5783,93.9599,18,33.2,7.48515,0,2,8.28713,0.196203,Travis Adams,30180,701519
NYM,Devin Williams,R,Closer,,,,,,,94.062,,67,62,4.79032,18,15,13.0645,0.34749,Devin Williams,15816,642207
NYM,Luke Weaver,R,Setup Man,,,,,,,95.077,,64,64.2,3.61856,8,21,10.0206,0.274809,Luke Weaver,16918,596133
NYM,Brooks Raley,L,Setup Man,,,,,,,,90.5777,30,25.2,2.45455,0,10,8.76623,0.252525,Brooks Raley,10061,548384
NYM,Luis García,R,Middle Reliever,,,,,,,96.8297,97.0454,58,55.1,3.41566,2,12,7.80723,0.206009,Luis Garcia,6984,472610
NYM,Huascar Brazobán,R,Middle Reliever,,,,,,,96.6318,96.4725,52,63,3.57143,2,12,8.14286,0.217557,Huascar Brazoban,6107,623211
NYM,Bryan Hudson,L,Middle Reliever,,,,,,,90.6361,89.0959,16,15,4.8,0,2,11.4,0.253333,Bryan Hudson,19924,663542
NYM,Tobias Myers,R,Long Reliever,,,,,,,93.5091,,22,50.2,3.55263,0,1,6.75,0.172727,Tobias Myers,22191,668964
NYM,A.J. Minter,L,Projected Injured List,,,,,,,94.7966,,13,11,1.63636,0,7,11.4545,0.318182,A.J. Minter,18655,621345
NYM,Dedniel Núñez,R,Projected Injured List,,,,,,,96.2253,,10,9.2,4.65517,0,3,10.2414,0.268293,Dedniel Nunez,23055,673380
NYM,Reed Garrett,R,60-Day IL,,,,,,,98.0863,97.0766,58,55.1,3.90361,3,20,10.4096,0.268908,Reed Garrett,16866,657585
NYY,David Bednar,R,Closer,,,,,,,97.0716,,64,62.2,2.29787,27,4,12.3511,0.342629,David Bednar,19569,670280
NYY,Camilo Doval,R,Setup Man,,,,,,,98.1877,96.5023,69,65.1,3.58163,16,10,9.91837,0.258993,Camilo Doval,21992,666808
NYY,Fernando Cruz,R,Setup Man,,,,,,,93.8987,93.0412,49,48,3.5625,2,16,13.5,0.36,Fernando Cruz,7048,518585
NYY,Tim Hill,L,Middle Reliever,,,,,,,89.9029,88.2766,70,67,3.08955,0,15,4.97015,0.137546,Tim Hill,16814,657612
NYY,Jake Bird,R,Middle Reliever,,,,,,,,94.5593,48,55.1,5.53012,0,10,10.7349,0.266129,Jake Bird,21267,656234
NYY,Paul Blackburn,R,Middle Reliever,,,,,,,92.5471,92.5283,15,39,6.23077,1,0,7.84615,0.194286,Paul Blackburn,14739,621112
