playerid,PlayerName,role,SO_mean,SO_p10,SO_p50,SO_p90,BB_mean,BB_p10,BB_p50,BB_p90,H_mean,H_p10,H_p50,H_p90,ER_mean,ER_p10,ER_p50,ER_p90,W_mean,W_p10,W_p50,W_p90,QS_mean,QS_p10,QS_p50,QS_p90
1890,Matt Moore,SP,0.7751047438592608,0.6649149932257342,0.7723639976931387,0.8890506925541977,0.5192718427797709,0.4169249831481978,0.5141740690217491,0.6280804636243146,1.1849581282013852,1.0693758635118624,1.1823529055043935,1.3033366529141766,0.7377920417524766,0.6192716236237168,0.7333501963688729,0.8628354150272229,0.040616432754649545,0.03367641438266001,0.04020869831015557,0.048055195860504975,0.03608577146727476,0.026365125066767546,0.034990859642762426,0.04692220400043563
2036,Clayton Kershaw,SP,0.8673350874555448,0.7799224497554978,0.8634311857417658,0.9560748666630675,0.2774540100230414,0.232726409972536,0.2749264158322926,0.3239135643462155,0.8873579713932199,0.819082738628474,0.8866034284837709,0.958160463954611,0.38636242103734536,0.3347568999359442,0.3851084559315241,0.4397194656104677,0.07293788580931532,0.06054268505529627,0.07190961915377228,0.08676003354848547,0.07180610131769882,0.055029597995475854,0.07046753390600494,0.08977241039396947
2520,Lance Lynn,SP,0.9454447164328716,0.8617192641970187,0.9427306733547964,1.033503885638126,0.33520948093021335,0.291991339130148,0.3329108693623855,0.3822046409019338,0.9925975718916559,0.9263907185087529,0.9908828034459776,1.0612312063483689,0.5109399938810767,0.4517780280991097,0.5081034172163081,0.5736871866927429,0.061523291179234545,0.05192719526236586,0.060870519969129976,0.07206538106770732,0.06470942442752706,0.051124489274196966,0.06383985980332132,0.07897757400793154
3137,Max Scherzer,SP,0.9672032704863874,0.8761128874735505,0.9653163827722742,1.0596038145017004,0.28200139903121096,0.2391857353612741,0.2803801544519776,0.3277370797749297,0.944672025235775,0.8754348273354772,0.941572319165896,1.0168921943600984,0.47754804810012663,0.41803380631273046,0.4753239521963166,0.5387895082934377,0.06070912023473301,0.049355406765130935,0.06009551547693878,0.07264856258607483,0.06064740490103348,0.04720568522994422,0.059840997315571846,0.0751621495922823
4676,Charlie Morton,SP,0.9601174807578289,0.8800652627152733,0.9557827974500799,1.0430755514434524,0.5174268757805573,0.45698848978478956,0.5171305379017708,0.5785467140529332,1.0103788071710962,0.9441320771046063,1.0095256035231177,1.0795066929164616,0.591736707924681,0.524096142565536,0.5904531234530821,0.6610956674298153,0.054490627869038896,0.044640432574867765,0.05382163999690596,0.06518094270487806,0.04561711239698905,0.03539150572851746,0.04483669643778411,0.056904326840643595
6175,Albert Suárez,SP,0.7991056455518171,0.7005469673018969,0.7955719553298106,0.9057212802253827,0.3228803130245336,0.2622698888921098,0.32028501920002705,0.3866321767541834,0.97714915900142,0.8935097088325082,0.9748212436402386,1.0638160168271498,0.46970451022301785,0.40234662201799176,0.4661383159000021,0.5423230745445037,0.058977809948150856,0.04896362482858035,0.05828276708962169,0.06969119336769668,0.0651944183301334,0.04869408942220504,0.0640549691362057,0.08327227058363185
6632,Carlos Carrasco,SP,0.7337020857605399,0.6567690168109885,0.7303287146263056,0.8150335339315278,0.4151727350128254,0.3525604211294181,0.4122848057445947,0.48034078836616517,1.3543208156747328,1.2550060157486032,1.352427744593119,1.4546824377791996,0.8592453385569787,0.7554902778538051,0.8526485947480883,0.9703558040169593,0.0398449754844355,0.03166455587322319,0.0393293833673214,0.04880477143687555,0.031183047841618784,0.02298571570885213,0.030501406162322657,0.040271848584075676
6895,Chase Anderson,SP,0.7142707193059545,0.6263369544689733,0.7108011639585134,0.8084366380462531,0.4660868742260081,0.38868384357502983,0.46360943567157564,0.5478709750440018,1.148639837241975,1.052957962538596,1.1465284112772103,1.245438204714079,0.7039942619941361,0.6039497346538948,0.7001954822588333,0.8090238639271529,0.04061735249841038,0.0328194228693727,0.04024289295546856,0.048771690365731174,0.0329065347035517,0.02389112101118019,0.032124063740481726,0.04291534765437284
6902,Martín Pérez,SP,0.7690974150097285,0.6876183375442404,0.7657472780916672,0.8525117890318255,0.3457280988960711,0.29818420085909786,0.34362658064675544,0.3977304218461118,0.9503935949756017,0.8835841755203905,0.9494749963481705,1.0200998690553569,0.4332498651242447,0.37878235501347896,0.43160849359291764,0.49036462371700074,0.06100374529513658,0.05182078608167601,0.06057740656660762,0.07100214242921328,0.07697795806841122,0.06045519634248047,0.07569047181415678,0.09498024597173271
8700,Justin Verlander,SP,0.7988462027527803,0.7290092288705285,0.7959202392342548,0.8730088252429147,0.3089538959632862,0.2669826591780104,0.3075802433083654,0.3533299093686291,0.9639876726095068,0.897076299657183,0.9615796512581853,1.0335503485721698,0.4801788446985687,0.42274094572141396,0.4785196865899612,0.5406273293399481,0.057127522349541424,0.04590713645311783,0.05669248924583151,0.0690531858287968,0.0562113248654577,0.0438131956585288,0.055381333227801206,0.06987032210714693
