playerid,PlayerName,role,ERA,K9,WHIP,Ks,WQS,IP_atc,z_ERA,z_K9,z_WHIP,z_IP,z_WQS,composite
3137,Max Scherzer,SP,4.29793243290114,8.704829434377487,1.226673424266986,89.61283381546953,0.12135652513576649,92.6515,0.0226033837609797,0.31478346185868594,0.45090364591155063,-0.16110088643939038,-0.14050861323833286,0.09733619837069862
4676,Charlie Morton,SP,5.325630371322129,8.641057326820459,1.5278056829516535,72.92111468705325,0.10010774026602794,75.9502,-1.2185544110692281,0.2649402211571505,-1.5831076702291333,-0.4886599932257094,-0.9790705934516682,-0.8008904893637177
6175,Albert Suárez,SP,4.2273405920071605,7.191950809966354,1.3000294720259535,18.372957091962824,0.12417222827828425,22.9919,0.10785763046268473,-0.8676578328923037,-0.04458306116136925,-1.5273200642933455,-0.0293897131526519,-0.47221860820739714
6902,Martín Pérez,SP,3.899248786118202,6.921876735087556,1.2961216938716726,81.29359676652831,0.13798170336354781,105.7,0.5040963374553887,-1.0787433315076749,-0.018187798755763034,0.09481661728195369,0.5155873687932022,0.003513838653421342
8700,Justin Verlander,SP,4.321609602287118,7.189615824775022,1.272941568572793,94.36850077738869,0.11333884721499912,118.131,-0.005991694855285782,-0.8694828192912866,0.13838339482350812,0.33862322254386323,-0.4569182298431126,-0.17107722532446273
9132,Nathan Eovaldi,SP,3.0489488001924343,8.77041828603541,1.0375676097753896,155.77334816011626,0.17553394083626267,159.851,1.531009417671634,0.36604664016276967,1.7282273318693848,1.1568688642079987,1.9975487519783406,1.3559402011780257
9323,Patrick Corbin,SP,6.841024044181755,5.931056664917251,1.6890687908334867,81.8953714228813,0.08528615647621379,124.271,-3.048705663679438,-1.8531521622844769,-2.6723665485054164,0.4590457594522475,-1.5639895301756648,-1.7358336290385499
9803,Miles Mikolas,SP,5.250244410992609,5.549707921275786,1.39505560768443,79.66112413620611,0.10823882449675143,129.187,-1.1275102736960385,-2.151208129833488,-0.6864413466294156,0.5554622401430649,-0.6581855105824185,-0.8135766041196592
10310,Zack Wheeler,SP,2.706604511009095,10.664330623927402,0.9714077138884736,142.25980067194178,0.19662350933105027,120.058,1.94446094574257,1.8462976800196857,2.1751073091141757,0.37641707085370973,2.8298274176642932,1.8344220846788868
10603,Chris Sale,SP,3.336286130090939,10.907809044025287,1.0765128365751366,192.22347086772697,0.15104872733771327,158.603,1.1839901687110148,2.0365964479836585,1.4651700547568012,1.1323921010057736,1.031264362392796,1.3698826269700088
10954,Jacob deGrom,SP,2.6572774594923434,10.737443951940705,0.9255867555612645,185.38077678092824,0.16616357681668997,155.384,2.00403356158344,1.9034418665027582,2.484607022499414,1.0692585266884949,1.6277567353645759,1.8178195425277366
11156,Merrill Kelly,SP,3.4690694018129378,8.110738810289034,1.157385756814531,155.67211356548086,0.15629087578311612,172.74,1.0236269077181677,-0.14954809482518464,0.9189102961551022,1.4096581277604687,1.2381404923878643,0.8881575458392836
11423,Jose Quintana,SP,3.9849221185729915,6.454886977379379,1.3084635859599183,75.70578330936198,0.12751423243465898,105.556,0.40062807074978535,-1.443734920938611,-0.10155166113214882,0.09199237537400451,0.10249912851198073,-0.19003340148699785
11486,Robbie Ray,SP,3.6504816708566628,9.237598144217944,1.1978616824560475,172.8693324715132,0.1548482485921667,168.423,0.8045340756867984,0.7311868090285694,0.6455138452211477,1.3249897088950786,1.1812086573973848,0.9374866192457958
11674,Jameson Taillon,SP,4.053157301666435,6.85342988125366,1.2237251365318524,118.04043030587691,0.14067250435643544,155.012,0.31821997571340077,-1.1322402777683092,0.47081798734642116,1.0619625684262932,0.621777130833163,0.26810747691019376
11836,Taijuan Walker,SP,5.635647013537698,6.105861232022974,1.5491478777630483,75.49558198883518,0.09313843893495126,111.28,-1.5929636198724852,-1.7165277594264279,-1.7272644800882633,0.20425599121498042,-1.254107079571592,-1.2173213895487576
12304,Chris Bassitt,SP,4.166011150784474,8.029384840322706,1.3091424252339792,128.75386237618804,0.13359175821195463,144.318,0.18192561404069277,-0.21313303285520058,-0.10613691138501667,0.8522233811790196,0.3423425869426149,0.211444327584422
12317,Colin Rea,SP,4.455509049361323,7.0918151563920935,1.2935233535662094,65.65232121440744,0.11308475630950712,83.3173,-0.16770296841777635,-0.9459222289598813,-6.371928938020585e-4,-0.3441706004475728,-0.4669456725495902,-0.3850757326537245
12447,Seth Lugo,SP,3.7354897761087544,7.560538557817357,1.2095335202320086,131.18122439700946,0.15247931976331092,156.157,0.7018692084014857,-0.5795756518330443,0.5666758946802088,1.084419214152694,1.0877212574407489,0.5722219845684187
12718,Adrian Houser,SP,4.110724909269222,6.402269790714689,1.3113919704819585,98.69383427710726,0.13096597140931293,138.739,0.2486951842015032,-1.4848596571349255,-0.12133156542356631,0.7428036200370202,0.23871854470493026,-0.07519477472300762
12730,Nick Martinez,SP,4.379235560329507,6.424154144195585,1.2913100356862313,95.59355505034505,0.1285348904788206,133.923,-0.07558695659022757,-1.4677552028533989,0.014312761766506341,0.6483484184489454,0.14277837440202462,-0.14758052096523003
12768,Sonny Gray,SP,3.742615252085261,9.585070826579887,1.1562450695086302,186.51163318293953,0.14862404056993903,175.127,0.693263722568066,1.0027657987724286,0.9266151196054845,1.4564738599429303,0.9355765313075702,1.002939006439296
12880,Tyler Anderson,SP,4.490034437922303,6.57934385463017,1.3743499379371897,85.0124329838825,0.11033858171150218,116.29,-0.2093995151655898,-1.3464614525304162,-0.5465839737988941,0.3025160742623755,-0.5753206983702039,-0.4750499131205457
