playerid,PlayerName,Team,role,ERA,WHIP,Ks,W,SVH,IP_atc,z_ERA,z_WHIP,z_IP,z_W,z_Ks,z_SVH,composite
3096,Kenley Jansen,DET,RP,3.3737013568239353,1.151170246639888,63.62062660152166,3.9895061458650662,27.66621471649995,60,0.45062949822983434,0.5357235325025472,0.5447087308388365,0.44540162940462086,0.5442594859146899,1.5243787031665068,0.6860364651862085
3237,T.J. McFarland,NA,RP,4.7258292163928575,1.4309751946354767,13.757327614419488,1.012627582935587,2.3638736644952383,24,-0.5258247877507034,-0.5626579693956695,-1.297442639888691,-0.8455050255538809,-1.5129534976775436,-0.698338781560056,-0.8980575829851805
4301,Justin Wilson,NA,RP,5.279629081112743,1.4587340423056987,43.73132261353996,2.2773026888333328,3.9078315104783417,45,-0.9502386648982776,-0.6985359297158991,-0.21914876374078823,-0.3411542418019882,-0.2780797635932478,-0.5531095330117222,-0.4935608658551181
5615,Ryan Brasier,TEX,RP,4.9079651348920645,1.342321123032877,34.575023905950054,1.5457033867022612,2.8130356954294875,44,-0.6819228651676053,-0.21860760985470215,-0.2615816422449677,-0.7423327666725512,-0.6471399269937881,-0.6483832826427599,-0.49872535031839793
6107,Huascar Brazobán,NYM,RP,4.183494153569138,1.3504698321132385,49.22348502298072,2.7119698781796977,3.366296091334796,52,-0.14494333298150325,-0.27121049745138204,0.14030883736826957,-0.16223343075382923,-0.04333808689147835,-0.609887659026176,-0.15438799786374502
6655,Craig Kimbrel,NYM,RP,4.40707116899665,1.3070418886270851,39.24525691388281,2.550586020724154,3.7466376665748538,32,-0.3002630341454523,-0.06872256587872594,-0.8810267583057331,-0.256820750369534,-0.44905250354075704,-0.5640493159540089,-0.397095437140212
6984,Luis García,NYM,RP,4.695630080457168,1.3856512488520047,49.19330669297097,2.891938583807914,4.103462305129288,60,-0.5254366281894048,-0.3959882801273201,0.576465521153972,-0.00828519744785651,-0.04003434434586792,-0.5341097029828471,-0.14938606750095873
7048,Fernando Cruz,NYY,RP,4.6675960741091815,1.3895186266195887,85.10792196714367,2.984228799515704,20.219898125779913,61,-0.4980148596731454,-0.410140394293518,0.6123782212632394,-0.01103228514167995,1.432869597427417,0.8476998522281414,0.33973963130783935
7836,Hunter Strickland,LAA,RP,3.987412344259161,1.3001140652195176,10.642819921944195,0.6292688614793746,0.6782303098092397,14,0.06663522739410171,-0.02310355401747067,-1.807974298422446,-1.1719442107211075,-1.6425103250694888,-0.8378563498954059,-0.8754495466321514
9073,Kirby Yates,LAA,RP,3.1979689701433465,1.1922766297110927,67.874734214485,4.353390029160002,18.633217714992092,56,0.5769003176617069,0.3771205986230605,0.3592494117437972,0.5949865176502256,0.7299759973187161,0.7220554781519748,0.5778145846311644
10061,Brooks Raley,NYM,RP,3.2735717247717435,1.1219741118290472,66.68189053995995,3.2035284922154346,26.39070856401111,62,0.5168607287357725,0.6662117245356032,0.6591327954233013,0.09399247866974678,0.676946111645916,1.3768527436855598,0.6852236277604724
10078,Caleb Thielbar,CHC,RP,3.8787650690258655,1.1918926974360162,68.36477669436377,4.412719082935225,6.025483362494262,66,0.06616704315030585,0.3865743026009495,0.8671921728575913,0.6119135441999783,0.7579726019034702,-0.3677717762072968,0.3978702011130704
10233,Aroldis Chapman,BOS,RP,3.0550277164588096,1.1092569850821385,84.98649785128278,5.598939997585176,24.354060970508858,62,0.6792570526800937,0.7066534451886178,0.6591825222742422,1.1465908056152174,1.4436430294440386,1.2265407920179578,0.990639498155836
10315,Michael Tonkin,MIN,RP,4.484677637965454,1.3140768078662712,29.536213846657063,1.781200525291309,1.3144039718558604,34,-0.35090672461301775,-0.10692608967590048,-0.7744246000074635,-0.5036581203684882,-0.8624639829487168,-0.787616672866652,-0.5537821247724286
10591,Scott Alexander,SFG,RP,4.163398660331857,1.330048520639671,24.29073640079093,1.8160192481642012,2.806959479312452,33,-0.11859542976728288,-0.16586540731645333,-0.8241153219285062,-0.4959991213940556,-1.0699358718217111,-0.6513295159138582,-0.5490776575773951
11384,Tommy Kahnle,NA,RP,3.879543448248942,1.3136059553496988,45.35059094774529,1.845755772441673,5.072303338536357,50,0.09238883573862086,-0.10812424399743922,0.03856727726051547,-0.4740447159208847,-0.20885001645483445,-0.4523535130566717,-0.17622794902485342
11426,Drew Pomeranz,LAA,RP,2.6027423339779228,1.0036385124719824,65.72222453144289,3.9271422678736925,18.93474415380105,58,1.016256412402475,1.1313113139907007,0.45713880545278174,0.37226042487458466,0.6289496534411254,0.7371463484690847,0.7483959939557604
