playerid,PlayerName,Team,role,IP_atc,z_ERA_p50,z_Ks_p50,z_WHIP_p50,z_IP_p50,z_WQS_p50,composite_mean,composite_p05,composite_p50,composite_p95,expected_rank_overall,p_top20_overall,p_top50_overall,expected_rank_role,p_top20_role,p_top50_role
3137,Max Scherzer,NA,SP,111,-0.13675157493969523,0.09653082552807785,0.12964768731918197,0.14605380406069107,-0.09839385835718634,0.033631285514712964,-0.3278103819307675,0.033955805924084315,0.39339792061324863,137.6695,0,0,137.6695,0,0
4676,Charlie Morton,NA,SP,52,-0.9880145835299887,-0.7997934802947666,-1.2375349809852894,-0.9003244484117519,-0.8836955550385239,-0.9620404016765808,-1.3651570968658082,-0.9572843823827895,-0.5747492758572975,254.53616666666667,0,0,254.53616666666667,0,0
6175,Albert Suárez,BAL,SP,25,0.09934618469091946,-1.2674353314150957,-0.009393400766225038,-1.3833294438616588,-1.0663371334353973,-0.7427470008859579,-1.260216302840829,-0.7345294225028912,-0.2557836943498694,231.15933333333334,0,0,231.15933333333334,0,0
6902,Martín Pérez,ATL,SP,45,0.27898027216734733,-1.056164918041743,-0.11869379765015743,-1.024850599553429,-0.8061842777873935,-0.5505160601337928,-0.9647817773774212,-0.5441487186397749,-0.17403574711394076,210.18933333333334,0,0,210.18933333333334,0,0
8700,Justin Verlander,DET,SP,141,-0.2162370907567887,0.22068700090334653,-0.14823578549402572,0.680555693586,0.12592297104664346,0.1381624876986324,-0.21579428171898196,0.13866543809789061,0.4957720235135632,125.41483333333333,0,0.0016666666666666668,125.41483333333333,0,0.0016666666666666668
9132,Nathan Eovaldi,TEX,SP,173,0.8869528357173602,1.0408884498479112,0.9173718735054035,1.2619242213136732,1.3760709406277727,1.1098757643837909,0.7095939772965292,1.1032263074895727,1.517175604715337,28.798833333333334,0.3431666666666667,0.9031666666666667,28.798833333333334,0.3431666666666667,0.9031666666666667
9323,Patrick Corbin,NA,SP,113,-2.060464356984622,-0.3430986529335106,-1.7289806498057718,0.19293737299655556,-0.4142874621920932,-0.8680623355760678,-1.2345472025752577,-0.8614731530565816,-0.5097764895583209,246.5975,0,0,246.5975,0,0
9803,Miles Mikolas,WSN,SP,141,-0.8385022601821945,-0.1918494988090918,-0.5006580435682794,0.6874709435278947,0.12509355716489118,-0.139320046865094,-0.4992770358703654,-0.13697771164720535,0.221945085344083,158.54333333333332,0,1.6666666666666666e-4,158.54333333333332,0,1.6666666666666666e-4
10310,Zack Wheeler,PHI,SP,147,1.2228690481112185,1.158960220723106,1.3764117780183223,0.7914795591939676,1.3790864192469754,1.1946167577771158,0.8154195750005832,1.1876908676723683,1.5973902010827643,23.632166666666667,0.4835,0.9573333333333334,23.632166666666667,0.4835,0.9573333333333334
10603,Chris Sale,ATL,SP,165,0.750020299284994,1.6472873394473297,0.9281529171662342,1.1212237743010876,1.0782487597227237,1.113043478815844,0.7030547186575544,1.110671822633368,1.536419172554477,28.691666666666666,0.3596666666666667,0.8958333333333334,28.691666666666666,0.3596666666666667,0.8958333333333334
